k,p,theta,X,r,J,true_gradient_quadrature,estimated_gradient,Q_quadrature,raw_cost,next_theta,next_X,next_r
1,0.7,0.0,1.0,1.0,0.0007042735425390647,0.0010560578104591165,-0.0007688782134100181,0.0010560578104591165,272,-2.1624029500001022e-06,1.02,1.008
2,0.7,-2.1624029500001022e-06,1.02,1.008,0.0038840234574615724,0.0021440603756785735,0.004774668350720614,0.0021440603756785735,312,1.1265935565510045e-05,1.04039997794349,1.020959991177396
3,0.7,1.1265935565510045e-05,1.04039997794349,1.020959991177396,0.006462098932378646,0.0018539566034941216,0.006587655367367494,0.0018539566034941222,276,2.979314202230554e-05,1.061208094713151,1.037059232591698
4,0.7,2.979314202230554e-05,1.061208094713151,1.037059232591698,0.008351214374701344,0.001432542952323652,0.005315538306304394,0.0014325429523236526,378,4.4742630138782584e-05,1.0824325727746489,1.0552085686648784
5,0.7,4.4742630138782584e-05,1.0824325727746489,1.0552085686648784,0.00969613707431661,0.001118655613156201,0.004595762089564966,0.001118655613156201,254,5.766781039054029e-05,1.1040817085389443,1.0747578246145049
6,0.7,5.766781039054029e-05,1.1040817085389443,1.0747578246145049,0.010663777658964795,0.000911497328612822,0.0007127306309179706,0.000911497328612823,308,5.967230315931976e-05,1.126163979409469,1.0953202865324905
7,0.7,5.967230315931976e-05,1.126163979409469,1.0953202865324905,0.011387113903339848,0.0007780000029734527,0.004917947536792898,0.0007780000029734508,264,7.35036018956199e-05,1.1486879310056421,1.1166673443217512
8,0.7,7.35036018956199e-05,1.1486879310056421,1.1166673443217512,0.01195877573787685,0.000690944876048162,0.007695994411540446,0.000690944876048164,354,9.514791529720773e-05,1.1257133280585259,1.120285737816461
9,0.7,9.514791529720773e-05,1.1257133280585259,1.120285737816461,0.002204300750227534,0.0020282630590559513,-0.00209123005339393,0.0020282630590559487,300,8.926651307027738e-05,1.1482286657124594,1.1314629089748605
10,0.7,8.926651307027738e-05,1.1482286657124594,1.1314629089748605,0.0057191067942913235,0.002340773999745045,0.004028572242711009,0.0023407739997450467,364,0.00010059652132124768,1.1711942640103998,1.1473554509890762
11,0.7,0.00010059652132124768,1.1711942640103998,1.1473554509890762,0.008404183434123346,0.001824680755246712,0.007014720124905524,0.0018246807552467093,312,0.00012032481018021661,1.1946193274712942,1.1662610015819634
12,0.7,0.00012032481018021661,1.1946193274712942,1.1662610015819634,0.010330588403203752,0.0013516794763038299,-0.0029204772440576767,0.0013516794763038314,280,0.00011211122251728881,1.2185131514441565,1.1871618615268407
13,0.3,0.00011211122251728881,1.2185131514441565,1.1871618615268407,0.002666480538516432,-0.002605560198646006,-0.005821069782704113,-0.0026055601986460057,256,9.573997119199821e-05,1.1941415223252843,1.189953725846218
14,0.3,9.573997119199821e-05,1.1941415223252843,1.189953725846218,-0.004905038578042203,-0.007304770638499808,-0.005092414934001296,-0.007304770638499809,350,8.141799810984937e-05,1.17025754860803,1.1879841081223992
15,0.3,8.141799810984937e-05,1.17025754860803,1.1879841081223992,-0.024317219808933338,-0.008186127631263225,0.008283726766784261,-0.008186127631263225,324,0.00010471525752632446,1.1936636523804587,1.190255925825623
16,0.3,0.00010471525752632446,1.1936636523804587,1.190255925825623,-0.005312313959743003,-0.007690759243435418,-0.027040929445788512,-0.0076907592434354195,316,2.8665000691779815e-05,1.169789129384883,1.188209246181549
17,0.3,2.8665000691779815e-05,1.169789129384883,1.188209246181549,-0.025176961925848364,-0.007891517639297324,-0.005217427755630118,-0.007891517639297324,284,1.3991439946509287e-05,1.1931852472926425,1.1901996466259863
18,0.3,1.3991439946509287e-05,1.1931852472926425,1.1901996466259863,-0.005538761212742545,-0.007896319641250748,-0.018902989567415502,-0.007896319641250748,328,-3.9171570386575335e-05,1.1693213754029923,1.1881118195036868
19,0.3,-3.9171570386575335e-05,1.1693213754029923,1.1881118195036868,-0.025639904483641993,-0.007726778425983914,0.0063399896398329565,-0.007726778425983916,338,-2.1340902198772266e-05,1.1459354059364781,1.183894178146966
20,0.3,-2.1340902198772266e-05,1.1459354059364781,1.183894178146966,-0.05586312737192824,0.002283759280811275,-0.008257669806732995,0.002283759280811275,310,-4.456487868655961e-05,1.1688538695022535,1.182390147282495
