agent_type,method,satisfaction,adoption
loss-averse,DRCPT-PG,85.57451640396998,0.9438433207347977
loss-averse,Static CPT-PG,57.61077273874787,0.3376792650120626
loss-averse,Symmetric CPT-PG,70.19856793835552,0.7109127150974377
loss-averse,Expected-Utility PG,48.68279312796543,0.14311553451997894
loss-averse,Exponential-Utility PG,73.81238057878436,0.7943825221739897
trend-chaser,DRCPT-PG,71.98417392775504,0.7545487880967852
trend-chaser,Static CPT-PG,66.88893314146581,0.6191911868636863
trend-chaser,Symmetric CPT-PG,70.46918951767674,0.7178149388771055
trend-chaser,Expected-Utility PG,76.3877703028318,0.8420380853605153
trend-chaser,Exponential-Utility PG,65.70663621617382,0.5837846880956394
drawdown-averse,DRCPT-PG,86.31662267995692,0.9485623844958926
drawdown-averse,Static CPT-PG,59.09878490030885,0.38044687875723704
drawdown-averse,Symmetric CPT-PG,71.86032553810118,0.7516703362189174
drawdown-averse,Expected-Utility PG,42.42441894299465,0.07096579004055545
drawdown-averse,Exponential-Utility PG,80.05950561942714,0.8940162529524124
turnover-sensitive,DRCPT-PG,75.6464478167863,0.8293186337041195
turnover-sensitive,Static CPT-PG,70.0110303371204,0.7060712562443462
turnover-sensitive,Symmetric CPT-PG,71.08026289785809,0.7330265803813735
turnover-sensitive,Expected-Utility PG,56.19817633603158,0.2993850403204955
turnover-sensitive,Exponential-Utility PG,79.55461862305616,0.8878860181451654
balanced,DRCPT-PG,81.53191755001619,0.9102335317217812
balanced,Static CPT-PG,67.06928730664735,0.6244925088685357
balanced,Symmetric CPT-PG,73.92260524506135,0.7966238930458317
balanced,Expected-Utility PG,64.49429521658796,0.5465614293507337
balanced,Exponential-Utility PG,71.99328213472681,0.7547595875687968
