seed,episode,method,asset,weight
0,0,DRCPT-PG,Cash,0.2415584898862047
0,0,DRCPT-PG,Stock_1,0.39555081551773097
0,0,DRCPT-PG,Stock_2,0.0030407262499545233
0,0,DRCPT-PG,Stock_3,3.680411952825296e-05
0,0,DRCPT-PG,Stock_4,0.3595812250256493
0,0,DRCPT-PG,Stock_5,0.00023193920093219714
0,1,DRCPT-PG,Cash,0.05851159185972432
0,1,DRCPT-PG,Stock_1,0.8071152670284539
0,1,DRCPT-PG,Stock_2,0.00318645428194507
0,1,DRCPT-PG,Stock_3,0.0005338597719080604
0,1,DRCPT-PG,Stock_4,0.13025741119615986
0,1,DRCPT-PG,Stock_5,0.0003954158618087801
0,2,DRCPT-PG,Cash,0.0141983723450578
0,2,DRCPT-PG,Stock_1,0.8814004773548765
0,2,DRCPT-PG,Stock_2,0.005618130760506096
0,2,DRCPT-PG,Stock_3,0.0007557946931567273
0,2,DRCPT-PG,Stock_4,0.09773239583749252
0,2,DRCPT-PG,Stock_5,0.0002948290089103759
0,3,DRCPT-PG,Cash,0.004112349102538071
0,3,DRCPT-PG,Stock_1,0.8450055768963813
0,3,DRCPT-PG,Stock_2,0.004913981773799884
0,3,DRCPT-PG,Stock_3,0.00043840538547180357
0,3,DRCPT-PG,Stock_4,0.14520662846114984
0,3,DRCPT-PG,Stock_5,0.0003230583806591475
0,4,DRCPT-PG,Cash,0.0022187587966497678
0,4,DRCPT-PG,Stock_1,0.8499460260454613
0,4,DRCPT-PG,Stock_2,0.009379633421517382
0,4,DRCPT-PG,Stock_3,0.0005435426339544604
0,4,DRCPT-PG,Stock_4,0.13646664099188793
0,4,DRCPT-PG,Stock_5,0.0014453981105289305
0,5,DRCPT-PG,Cash,0.001536125382248718
0,5,DRCPT-PG,Stock_1,0.9406234515786703
0,5,DRCPT-PG,Stock_2,0.013020643872205896
0,5,DRCPT-PG,Stock_3,0.00025231177013890763
0,5,DRCPT-PG,Stock_4,0.04420826182656746
0,5,DRCPT-PG,Stock_5,0.0003592055701687092
0,6,DRCPT-PG,Cash,0.0004586678583096143
0,6,DRCPT-PG,Stock_1,0.9682449781521608
0,6,DRCPT-PG,Stock_2,0.0031252615376454475
0,6,DRCPT-PG,Stock_3,0.0005262783414890082
0,6,DRCPT-PG,Stock_4,0.027535155346943483
0,6,DRCPT-PG,Stock_5,0.00010965876345156371
0,7,DRCPT-PG,Cash,0.0002857061547455811
0,7,DRCPT-PG,Stock_1,0.9874158093438896
0,7,DRCPT-PG,Stock_2,0.0011095519459515945
