ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,quote_observed,pb,turnover_rate,volume_ratio,circ_mv,basic_observed
000001.SZ,20230131,15.24,15.51,14.96,14.99,15.15,-0.16,-1.0561,1030497.84,1568639.326,1,0.7975,0.531,1.2,29088914.8781,1
000538.SZ,20230131,58.03,58.1,57.45,57.46,58.14,-0.68,-1.1696,52266.8,301458.446,1,2.7295,0.3103,0.84,9679681.0313,1
000651.SZ,20230131,35.05,35.27,34.5,34.63,35.05,-0.42,-1.1983,276693.31,963487.23,1,2.0375,0.4952,1.01,19349476.3186,1
000708.SZ,20230131,18.28,18.38,18.09,18.23,18.26,-0.03,-0.1643,56870.66,103784.079,1,2.6888,0.1127,1.33,9200962.2214,1
000792.SZ,20230131,24.83,25.17,24.68,25.03,24.87,0.16,0.6433,342399.35,855587.9,1,6.1642,0.6302,0.81,13598325.2497,1
000876.SZ,20230131,13.1,13.35,13.06,13.11,12.99,0.12,0.9238,428939.94,564505.421,1,2.3918,0.9527,1.93,5902398.642,1
000938.SZ,20230131,23.37,23.54,22.88,23.0,23.37,-0.37,-1.5832,220643.87,510064.588,1,2.0989,0.7715,0.74,6578183.7102,1
002230.SZ,20230131,41.67,41.67,39.69,40.58,41.67,-1.09,-2.6158,863881.84,3497085.812,1,5.9174,3.9276,1.91,8925653.0,1
002493.SZ,20230131,12.52,13.32,12.4,13.24,12.52,0.72,5.7508,734359.06,961295.657,1,2.706,0.7731,3.16,12575724.375,1
002602.SZ,20230131,3.85,4.01,3.77,3.97,3.97,0.0,0.0,1236018.7,481286.159,1,0.9188,1.797,2.07,2730604.8369,1
002714.SZ,20230131,49.23,51.39,49.23,49.94,48.15,1.79,3.7175,772879.99,3876705.22,1,4.6321,2.1415,2.72,18023575.6691,1
300347.SZ,20230131,119.01,120.47,115.75,116.3,119.19,-2.89,-2.4247,53844.63,634062.046,1,5.2869,0.9517,0.88,6579781.5429,1
300750.SZ,20230131,469.88,477.5,462.44,465.2,470.65,-5.45,-1.158,139540.34,6565989.151,1,7.5643,0.6669,1.24,97341531.3921,1
300759.SZ,20230131,79.8,79.8,73.83,74.2,81.8,-7.6,-9.291,308617.2,2345109.074,1,8.6618,3.2639,3.3,7015859.453,1
300979.SZ,20230131,66.31,66.73,62.94,63.04,66.44,-3.4,-5.1174,27642.07,177317.358,1,5.7788,1.8922,1.83,920919.84,1
600438.SH,20230131,41.74,42.65,41.71,42.21,41.71,0.5,1.1988,618725.16,2617096.528,1,3.4699,1.3744,1.17,19002714.4754,1
600570.SH,20230131,46.69,47.65,46.08,47.22,46.29,0.93,2.0091,197319.35,931974.141,1,15.7003,1.0385,1.23,8971830.4191,1
600588.SH,20230131,25.12,25.48,24.4,24.51,24.95,-0.44,-1.7635,340855.86,845550.893,1,7.7019,0.9976,1.03,8374755.946,1
600884.SH,20230131,19.35,19.54,19.21,19.54,19.32,0.22,1.1387,203003.46,394060.567,1,1.914,1.1552,0.87,3433640.1054,1
600887.SH,20230131,33.49,33.5,32.47,32.58,33.25,-0.67,-2.015,409474.18,1346604.085,1,4.3431,0.6491,0.72,20551428.0708,1
600926.SH,20230131,13.21,13.3,13.0,13.02,13.16,-0.14,-1.0638,205161.39,268736.405,1,0.9802,0.4049,1.24,6597001.0514,1
601117.SH,20230131,8.68,8.76,8.65,8.68,8.73,-0.05,-0.5727,255928.83,222452.196,1,1.0396,0.4493,0.85,4944622.2496,1
601225.SH,20230131,19.62,19.85,19.47,19.55,19.55,0.0,0.0,280040.76,549355.547,1,1.8685,0.2889,0.7,18953725.0,1
601668.SH,20230131,5.51,5.56,5.48,5.54,5.5,0.04,0.7273,1718422.19,950353.44,1,0.6426,0.4159,0.84,22891496.306,1
601818.SH,20230131,3.09,3.09,3.06,3.07,3.08,-0.01,-0.3247,569998.93,175309.111,1,0.4222,0.1378,0.63,12695446.0894,1
601881.SH,20230131,9.9,9.94,9.77,9.8,9.91,-0.11,-1.11,174930.41,171995.556,1,1.1391,0.2714,0.77,6317369.1421,1
601985.SH,20230131,6.02,6.06,6.01,6.04,6.03,0.01,0.1658,753261.86,454763.5,1,1.3922,0.3996,0.97,11385642.6612,1
605117.SH,20230131,334.92,354.25,333.06,348.71,335.52,13.19,3.9312,28125.51,975294.07,1,24.4712,3.4621,1.18,2832843.3238,1
688008.SH,20230131,57.6,57.6,54.1,55.41,59.84,-4.43,-7.4031,289878.31,1606593.084,1,6.5135,2.5561,2.63,6283872.068,1
688599.SH,20230131,70.83,72.01,70.01,71.37,70.83,0.54,0.7624,92255.63,659394.477,1,6.3338,0.6946,0.96,9479190.0066,1
000001.SZ,20230201,15.03,15.08,14.51,14.7,14.99,-0.29,-1.9346,1653421.48,2426471.973,1,0.7821,0.852,1.89,28526154.0165,1
000538.SZ,20230201,57.46,57.93,56.99,57.6,57.46,0.14,0.2436,64502.36,370258.526,1,2.7361,0.3829,1.05,9703265.3568,1
000651.SZ,20230201,34.8,35.08,34.64,34.95,34.63,0.32,0.9241,273694.85,954296.68,1,2.0563,0.4898,1.01,19528275.9842,1
000708.SZ,20230201,18.24,18.96,18.21,18.83,18.23,0.6,3.2913,91041.23,170389.881,1,2.7773,0.1804,1.89,9503791.4772,1
