eta_gain,eta_loss,reference_gap
0.0,0.0,0.0
0.0,0.02,0.0040000000000000036
0.0,0.04,0.008000000000000007
0.0,0.06,0.01200000000000001
0.0,0.08,0.016000000000000014
0.0,0.1,0.020000000000000018
0.0,0.12,0.02400000000000002
0.0,0.14,0.028000000000000025
0.0,0.16,0.03200000000000003
0.0,0.18,0.03600000000000003
0.0,0.2,0.040000000000000036
0.0,0.22,0.04400000000000004
0.0,0.24,0.04800000000000004
0.0,0.26,0.052000000000000046
0.0,0.28,0.05600000000000005
0.0,0.3,0.05999999999999994
0.0,0.32,0.06399999999999995
0.0,0.34,0.06799999999999995
0.0,0.36,0.07199999999999995
0.0,0.38,0.07599999999999996
0.0,0.4,0.07999999999999996
0.0,0.42,0.08399999999999996
0.0,0.44,0.08799999999999997
0.0,0.46,0.09199999999999997
0.0,0.48,0.09599999999999997
0.0,0.5,0.09999999999999998
0.0,0.52,0.10399999999999998
0.0,0.54,0.10799999999999998
0.0,0.56,0.11199999999999999
0.0,0.58,0.11599999999999999
0.0,0.6,0.12
0.0,0.62,0.124
0.0,0.64,0.128
0.0,0.66,0.132
0.0,0.68,0.136
0.0,0.7000000000000001,0.14
0.0,0.72,0.1439999999999999
0.0,0.74,0.1479999999999999
0.0,0.76,0.1519999999999999
0.0,0.78,0.15599999999999992
0.0,0.8,0.15999999999999992
0.02,0.0,0.00784000000000007
0.02,0.02,0.011759999999999993
0.02,0.04,0.015680000000000027
0.02,0.06,0.019600000000000062
0.02,0.08,0.023520000000000096
0.02,0.1,0.02744000000000013
0.02,0.12,0.031360000000000054
0.02,0.14,0.03528000000000009
0.02,0.16,0.039200000000000124
0.02,0.18,0.04312000000000016
0.02,0.2,0.04704000000000008
0.02,0.22,0.050960000000000116
0.02,0.24,0.05488000000000015
0.02,0.26,0.058800000000000074
0.02,0.28,0.06272000000000011
0.02,0.3,0.06664000000000003
0.02,0.32,0.07056000000000007
0.02,0.34,0.07447999999999999
0.02,0.36,0.07840000000000003
0.02,0.38,0.08232000000000006
0.02,0.4,0.08623999999999998
0.02,0.42,0.09016000000000002
0.02,0.44,0.09408000000000005
0.02,0.46,0.09800000000000009
0.02,0.48,0.10192000000000001
0.02,0.5,0.10584000000000005
0.02,0.52,0.10976000000000008
0.02,0.54,0.11368
0.02,0.56,0.11760000000000004
0.02,0.58,0.12152000000000007
0.02,0.6,0.1254400000000001
0.02,0.62,0.12936000000000003
0.02,0.64,0.13328000000000007
0.02,0.66,0.1372000000000001
0.02,0.68,0.14112000000000013
0.02,0.7000000000000001,0.14504000000000006
0.02,0.72,0.14895999999999998
0.02,0.74,0.15288000000000002
0.02,0.76,0.15679999999999994
0.02,0.78,0.16071999999999997
0.02,0.8,0.16464
0.04,0.0,0.01536000000000004
0.04,0.02,0.019200000000000106
0.04,0.04,0.02303999999999995
0.04,0.06,0.026880000000000015
0.04,0.08,0.03072000000000008
0.04,0.1,0.034560000000000035
0.04,0.12,0.0384000000000001
0.04,0.14,0.042240000000000055
0.04,0.16,0.04608000000000012
0.04,0.18,0.049920000000000075
0.04,0.2,0.05376000000000003
0.04,0.22,0.057600000000000096
0.04,0.24,0.06144000000000005
0.04,0.26,0.06528000000000012
0.04,0.28,0.06912000000000007
0.04,0.3,0.07296000000000002
0.04,0.32,0.07679999999999998
0.04,0.34,0.08064000000000004
0.04,0.36,0.08448
0.04,0.38,0.08831999999999995
0.04,0.4,0.09216000000000002
0.04,0.42,0.09599999999999997
0.04,0.44,0.09984000000000004
0.04,0.46,0.10368
0.04,0.48,0.10752000000000006
0.04,0.5,0.11136000000000001
0.04,0.52,0.11520000000000008
0.04,0.54,0.11904000000000003
0.04,0.56,0.12287999999999999
0.04,0.58,0.12672000000000005
0.04,0.6,0.13056
0.04,0.62,0.13440000000000007
0.04,0.64,0.13824000000000003
0.04,0.66,0.1420800000000001
0.04,0.68,0.14592000000000005
0.04,0.7000000000000001,0.14976000000000012
0.04,0.72,0.15359999999999996
0.04,0.74,0.1574399999999999
0.04,0.76,0.16127999999999998
0.04,0.78,0.16511999999999993
0.04,0.8,0.16896
0.06,0.0,0.022559999999999913
0.06,0.02,0.0263199999999999
0.06,0.04,0.030079999999999885
0.06,0.06,0.03383999999999987
0.06,0.08,0.03759999999999997
0.06,0.1,0.04135999999999995
0.06,0.12,0.04511999999999994
0.06,0.14,0.048879999999999924
0.06,0.16,0.05263999999999991
0.06,0.18,0.056400000000000006
0.06,0.2,0.06015999999999999
0.06,0.22,0.06391999999999998
0.06,0.24,0.06767999999999996
0.06,0.26,0.07143999999999995
0.06,0.28,0.07519999999999993
0.06,0.3,0.07895999999999992
0.06,0.32,0.0827199999999999
0.06,0.34,0.08647999999999989
0.06,0.36,0.09023999999999988
0.06,0.38,0.09399999999999986
0.06,0.4,0.09775999999999985
0.06,0.42,0.10151999999999994
0.06,0.44,0.10527999999999993
0.06,0.46,0.10903999999999991
0.06,0.48,0.1127999999999999
0.06,0.5,0.11655999999999989
0.06,0.52,0.12031999999999987
0.06,0.54,0.12407999999999997
0.06,0.56,0.12783999999999995
0.06,0.58,0.13159999999999994
0.06,0.6,0.13535999999999992
0.06,0.62,0.1391199999999999
0.06,0.64,0.1428799999999999
0.06,0.66,0.14663999999999988
0.06,0.68,0.15039999999999998
0.06,0.7000000000000001,0.15415999999999996
0.06,0.72,0.15791999999999984
0.06,0.74,0.16167999999999982
0.06,0.76,0.1654399999999998
0.06,0.78,0.1691999999999998
0.06,0.8,0.1729599999999999
0.08,0.0,0.02943999999999991
0.08,0.02,0.03312000000000004
0.08,0.04,0.036799999999999944
0.08,0.06,0.04047999999999985
0.08,0.08,0.04415999999999998
0.08,0.1,0.047839999999999994
0.08,0.12,0.0515199999999999
0.08,0.14,0.055199999999999916
0.08,0.16,0.05887999999999993
0.08,0.18,0.06255999999999995
0.08,0.2,0.06623999999999997
0.08,0.22,0.06991999999999998
0.08,0.24,0.0736
0.08,0.26,0.07728000000000002
0.08,0.28,0.08095999999999992
0.08,0.3,0.08463999999999983
0.08,0.32,0.08831999999999984
0.08,0.34,0.09199999999999986
0.08,0.36,0.09567999999999988
0.08,0.38,0.09935999999999989
0.08,0.4,0.10303999999999991
0.08,0.42,0.10671999999999993
0.08,0.44,0.11039999999999994
0.08,0.46,0.11407999999999985
0.08,0.48,0.11775999999999986
0.08,0.5,0.12143999999999988
0.08,0.52,0.1251199999999999
0.08,0.54,0.12879999999999991
0.08,0.56,0.13247999999999993
0.08,0.58,0.13615999999999995
0.08,0.6,0.13983999999999996
0.08,0.62,0.14351999999999987
0.08,0.64,0.1471999999999999
0.08,0.66,0.1508799999999999
