day,regime,level,outer_batch,cost,second_moment,variance_trace,mean_norm
0,uptrend_momentum,0,1,3.0,0.018088934312575116,0.018102694109402982,0.004737677847947308
0,uptrend_momentum,1,1,5.0,0.002443536117144697,0.0024431721435917504,0.002291357204830875
0,uptrend_momentum,2,1,9.0,0.00045796411698037086,0.0004574043085447381,0.0012143381130155953
0,uptrend_momentum,3,1,17.0,6.562606338573294e-05,6.566974566456658e-05,0.00029606960751735856
0,uptrend_momentum,4,1,33.0,2.4617137110506337e-05,2.4646590461467956e-05,0.00014085393129521692
0,uptrend_momentum,5,1,65.0,3.870830489790828e-06,3.8688586442538344e-06,9.853711394952025e-05
0,uptrend_momentum,0,8,10.0,0.0018162483809004595,0.0018139675616045397,0.002430792960975764
0,uptrend_momentum,1,8,12.0,0.0003880734609183208,0.0003883080552851377,0.0007362212600526921
0,uptrend_momentum,2,8,16.0,5.644909432459484e-05,5.649936220130866e-05,0.00025046126983788874
0,uptrend_momentum,3,8,24.0,1.088521502098639e-05,1.0854865442902003e-05,0.00022816509148026958
0,uptrend_momentum,4,8,40.0,1.8736705885360092e-06,1.8706312956559392e-06,8.234412833579521e-05
0,uptrend_momentum,5,8,72.0,4.343948587570279e-07,4.3277545699401574e-07,4.984929966409022e-05
150,oscillation_reversal,0,1,3.0,0.08619455264126598,0.08612314023476417,0.015609570364726582
150,oscillation_reversal,1,1,5.0,0.013715182821949178,0.01368112174651589,0.007837303039076215
150,oscillation_reversal,2,1,9.0,0.0027268378479538297,0.0027303371233931514,0.0014004994849930036
150,oscillation_reversal,3,1,17.0,0.0005771870944458388,0.0005780262474334199,0.0005629382801748036
150,oscillation_reversal,4,1,33.0,7.133354184133332e-05,7.14172697284744e-05,0.00024311859722333146
150,oscillation_reversal,5,1,65.0,2.2009619749092302e-05,2.20387453163345e-05,0.00012227805768194082
150,oscillation_reversal,0,8,10.0,0.008865038558753029,0.0088452282163952,0.006123789577591414
150,oscillation_reversal,1,8,12.0,0.0019352715521358608,0.0019352152988554973,0.0019815862025343994
150,oscillation_reversal,2,8,16.0,0.00025998775497946305,0.0002601404212842193,0.0006063122444847925
150,oscillation_reversal,3,8,24.0,4.868751162648549e-05,4.858921096426438e-05,0.0004421301665230261
150,oscillation_reversal,4,8,40.0,1.621926574762951e-05,1.6230491621879398e-05,0.00014572271269046468
150,oscillation_reversal,5,8,72.0,2.5773361287499973e-06,2.57521948697705e-06,8.524717442180589e-05
290,negative_shock,0,1,3.0,1.0734910457782556,1.0744118706117312,0.03504281535133436
290,negative_shock,1,1,5.0,0.12613833809687222,0.1263398533092707,0.007152936055920107
290,negative_shock,2,1,9.0,0.03275116799411847,0.03270948270034487,0.010349118763174188
290,negative_shock,3,1,17.0,0.0059520187385352,0.005958728598453391,0.0022820160557537636
290,negative_shock,4,1,33.0,0.0015725360261138626,0.0015747249247701548,0.0009800771363766311
290,negative_shock,5,1,65.0,0.0005017688724903794,0.0005020816243696582,0.0008315114968901774
290,negative_shock,0,8,10.0,0.1609170817518783,0.1612033260217693,0.006013516621127071
290,negative_shock,1,8,12.0,0.020559359572725512,0.020571413635151452,0.005393400119067538
290,negative_shock,2,8,16.0,0.0036388321245833916,0.003631250734842548,0.0038527770777101603
290,negative_shock,3,8,24.0,0.0008296098077256671,0.000830514654465397,0.0008695875856985909
290,negative_shock,4,8,40.0,0.00019217745110042183,0.00019244258951429334,0.00034604445546355895
290,negative_shock,5,8,72.0,6.565958515789649e-05,6.564723600212747e-05,0.00037900346670348737
350,style_switch_lowvol_quality,0,1,3.0,0.05198369031630112,0.0520197722567249,0.00824364022078
350,style_switch_lowvol_quality,1,1,5.0,0.00710864639221185,0.007113093326285699,0.003127179652454056
350,style_switch_lowvol_quality,2,1,9.0,0.001411547192384784,0.001412346319343389,0.001423223692917498
350,style_switch_lowvol_quality,3,1,17.0,0.00028430171285513797,0.0002845473176851014,0.0005687616419967889
350,style_switch_lowvol_quality,4,1,33.0,6.250800409688378e-05,6.254199721219369e-05,0.000301812655656585
350,style_switch_lowvol_quality,5,1,65.0,1.854962858714964e-05,1.8579645155052705e-05,8.4514628361287e-05
350,style_switch_lowvol_quality,0,8,10.0,0.006542229056563666,0.006534735211223049,0.004534679234858993
350,style_switch_lowvol_quality,1,8,12.0,0.0011294626998093582,0.0011293760470479104,0.001531471467427419
350,style_switch_lowvol_quality,2,8,16.0,0.0002081206665889004,0.00020801916744332766,0.0007194007787453296
350,style_switch_lowvol_quality,3,8,24.0,2.9002480875964317e-05,2.9008592691810433e-05,0.00022782749951995917
350,style_switch_lowvol_quality,4,8,40.0,8.597458436846006e-06,8.579122588803233e-06,0.000188398761196497
350,style_switch_lowvol_quality,5,8,72.0,1.5455148140298838e-06,1.5451293120862035e-06,5.8955581312144966e-05
