day,regime,level,outer_batch,cost,second_moment,variance_trace,mean_norm
0,uptrend_momentum,0,1,17.0,0.0009942444100612502,0.0009787891371375872,0.005636348570598669
0,uptrend_momentum,1,1,33.0,3.803417558821428e-05,3.818761822342404e-05,0.0006949947255296081
0,uptrend_momentum,2,1,65.0,1.8098284002767004e-06,1.8046799494728867e-06,0.00018768710654089893
0,uptrend_momentum,0,8,24.0,0.00011915100028933964,0.00011752841232886711,0.0018924573529198266
0,uptrend_momentum,1,8,40.0,1.4683272265406292e-06,1.4541764090933893e-06,0.00019592623849839388
0,uptrend_momentum,2,8,72.0,3.833435038844363e-07,3.8472740366298135e-07,7.090996838130625e-05
150,oscillation_reversal,0,1,17.0,0.005257356343646358,0.005305045219768652,0.006381891898738628
150,oscillation_reversal,1,1,33.0,9.350999545595294e-05,9.388264649367779e-05,0.001091814882280782
150,oscillation_reversal,2,1,65.0,1.4173579017718825e-05,1.4305070846210469e-05,0.00032699544178045885
150,oscillation_reversal,0,8,24.0,0.0008947106598881413,0.0008846886457154113,0.004976627867809029
150,oscillation_reversal,1,8,40.0,4.97556674930753e-06,4.9924238370745345e-06,0.0002575848912188743
150,oscillation_reversal,2,8,72.0,2.836044063359785e-06,2.8411718028468873e-06,0.00020548752734333948
290,negative_shock,0,1,17.0,0.20057905379002836,0.20139649808508453,0.05039011814197222
290,negative_shock,1,1,33.0,0.0013175377214722575,0.0013221541678782942,0.004173662227820387
290,negative_shock,2,1,65.0,0.0003799506315707951,0.00037729859063994573,0.002990041935299312
290,negative_shock,0,8,24.0,0.03508560621913327,0.03533937018330622,0.018309165433797042
290,negative_shock,1,8,40.0,0.00017246753085634335,0.00017049467563606916,0.0021941816578264555
290,negative_shock,2,8,72.0,3.5011530487422444e-05,3.467255108559638e-05,0.000957525588823961
350,style_switch_lowvol_quality,0,1,17.0,0.004309444275782145,0.004336516304626112,0.0067233356973900715
350,style_switch_lowvol_quality,1,1,33.0,5.089649098235994e-05,5.135164229761121e-05,0.0006330161054103644
350,style_switch_lowvol_quality,2,1,65.0,1.6022922908159424e-05,1.6123507268597405e-05,0.00041004970516427523
350,style_switch_lowvol_quality,0,8,24.0,0.000728419813907996,0.0007109004250864868,0.005419200055323433
350,style_switch_lowvol_quality,1,8,40.0,1.224282837178339e-05,1.185324828149159e-05,0.0007662468455508698
350,style_switch_lowvol_quality,2,8,72.0,1.913013830461865e-06,1.926112979391411e-06,0.00013785040464326347
