day,regime,level,outer_batch,cost,second_moment,variance_trace,mean_norm
0,uptrend_momentum,0,1,3.0,0.014606121381941799,0.014803701077729345,0.007010610209385842
0,uptrend_momentum,1,1,5.0,0.00401402065713113,0.0040364182077068265,0.006698961577693774
0,uptrend_momentum,2,1,9.0,0.0003598012845910124,0.0003552342374084072,0.0032384591715936164
0,uptrend_momentum,3,1,17.0,4.424451327462294e-05,4.443773907759611e-05,0.0007398670026791537
0,uptrend_momentum,4,1,33.0,5.6682151780920505e-06,5.66717870384869e-06,0.00030901367710966664
0,uptrend_momentum,5,1,65.0,8.299492266315331e-06,8.322258840276203e-06,0.00034049631428802857
0,uptrend_momentum,0,8,10.0,0.0025171108605373488,0.002478899643182754,0.008917746991681347
0,uptrend_momentum,1,8,12.0,0.00011759528417705179,0.000116079137610075,0.0018576325956652605
0,uptrend_momentum,2,8,16.0,5.605606956488723e-05,5.6633467005987455e-05,0.0006053872113500776
0,uptrend_momentum,3,8,24.0,3.7181810477569076e-06,3.5595419203471353e-06,0.00046686703255019446
0,uptrend_momentum,4,8,40.0,2.9027310755283804e-06,2.9137957647650713e-06,0.000193645484092433
0,uptrend_momentum,5,8,72.0,3.7105229950917904e-07,3.7290832992234603e-07,6.602354442827242e-05
150,oscillation_reversal,0,1,3.0,0.06706205596363976,0.06734714055506269,0.028937307254847687
150,oscillation_reversal,1,1,5.0,0.012425622032759893,0.01250702135319551,0.011271691774129292
150,oscillation_reversal,2,1,9.0,0.000943852188800124,0.000940302612528514,0.0043842087633253245
150,oscillation_reversal,3,1,17.0,0.0005961020615558566,0.0005821451366522897,0.004864087154623354
150,oscillation_reversal,4,1,33.0,0.0001239382054964005,0.00012266705111967267,0.0018208803444274798
150,oscillation_reversal,5,1,65.0,8.726081311156209e-06,8.844358246633874e-06,0.0001706723038444315
150,oscillation_reversal,0,8,10.0,0.019300118133791646,0.01930623128410651,0.017766749029772433
150,oscillation_reversal,1,8,12.0,0.001342230761829065,0.0013563853911384826,0.002907196910466086
150,oscillation_reversal,2,8,16.0,0.00020919410700651525,0.00021075718351098695,0.0013962604415765113
150,oscillation_reversal,3,8,24.0,2.929453675235037e-05,2.8724032598863856e-05,0.0010243232058946238
150,oscillation_reversal,4,8,40.0,1.657691007290602e-05,1.6603581843112685e-05,0.000500054590865058
150,oscillation_reversal,5,8,72.0,4.004453457138192e-06,4.0180670735936625e-06,0.0002309852118738816
290,negative_shock,0,1,3.0,0.7927135284556062,0.7932992198569716,0.11240979611634144
290,negative_shock,1,1,5.0,0.08887195382637388,0.08889128971449722,0.03823853562988907
290,negative_shock,2,1,9.0,0.02002552707149212,0.020239840983799703,0.011091292564698615
290,negative_shock,3,1,17.0,0.005238041504038161,0.005188774767019244,0.011651022121223441
290,negative_shock,4,1,33.0,0.0013778291158876308,0.0013886821790643868,0.003505943497498323
290,negative_shock,5,1,65.0,0.0008695844866275682,0.0008670408012380653,0.00412242227460231
290,negative_shock,0,8,10.0,0.25142984727982914,0.2510979360901377,0.06720771377746577
290,negative_shock,1,8,12.0,0.021382680392683644,0.021655794680049214,0.009370999091270028
290,negative_shock,2,8,16.0,0.003635583603927155,0.0036411025440353947,0.007427388659034259
290,negative_shock,3,8,24.0,0.00035248516248929793,0.0003550954646626149,0.0018187785931937815
290,negative_shock,4,8,40.0,0.00014621229696415986,0.0001448519105074773,0.0019428291137257934
290,negative_shock,5,8,72.0,6.83721664740901e-05,6.825576392115645e-05,0.0011198207973985232
350,style_switch_lowvol_quality,0,1,3.0,0.050939536009900206,0.051386666288621534,0.020231514017056917
350,style_switch_lowvol_quality,1,1,5.0,0.008692973308328463,0.008699098518824047,0.011783877325318382
350,style_switch_lowvol_quality,2,1,9.0,0.0007786126234242521,0.0007763940448027516,0.003893389187868751
350,style_switch_lowvol_quality,3,1,17.0,0.00034146929372602197,0.00034506511116557347,0.0014680830175917755
350,style_switch_lowvol_quality,4,1,33.0,5.7000857491723525e-05,5.732481008771365e-05,0.0007946451443706026
350,style_switch_lowvol_quality,5,1,65.0,7.933813916367479e-06,7.99476090556707e-06,0.000268884781817781
350,style_switch_lowvol_quality,0,8,10.0,0.008562324423257548,0.008574954228144157,0.011414293623163756
350,style_switch_lowvol_quality,1,8,12.0,0.0004466362412128433,0.000449469331988621,0.0021582550260258898
350,style_switch_lowvol_quality,2,8,16.0,0.00012116983214251945,0.00012236963324822623,0.0009163475223754671
350,style_switch_lowvol_quality,3,8,24.0,1.5753187480286785e-05,1.5953005819178287e-05,0.00025703130437387426
350,style_switch_lowvol_quality,4,8,40.0,6.596545165386392e-06,6.662923233957471e-06,0.000211354328072266
350,style_switch_lowvol_quality,5,8,72.0,1.4069433707216486e-06,1.4221019599604e-06,9.242894619069246e-05
