precision,batch,dimension,objective,g0,g1
half,0,2,-0.00042394503165016747,0.0005690390121253227,-1.0729689658287601e-05
half,1,2,-0.0004253240670601707,0.00029244897266714496,-1.22436334994498e-06
half,2,2,-0.0004491816418444104,0.00014817741724153157,-4.3507194567018735e-05
half,3,2,-0.0004513873189064014,0.00045723553917468077,-3.283549302082678e-05
half,4,2,-0.00044362574687542425,0.00040949805577242954,1.0384510054242297e-05
half,5,2,-0.0004308916403902191,0.00037103356988644413,7.801082156994326e-07
half,6,2,-0.00045514843694292954,0.00010271927845220406,-1.5996753482898735e-05
half,7,2,-0.0004524048358809343,0.00044775081783582875,2.690817323660396e-06
full,0,2,-0.000447483732058666,0.0003276713892484386,6.0811586461410784e-05
full,1,2,-0.0004528159382710228,0.0002915491090887779,5.739282283764342e-05
full,2,2,-0.00044482359349903497,0.00032383711207164943,4.2795647434446556e-05
full,3,2,-0.00044859576543796934,0.0003457110359602852,-2.2257794851510444e-05
full,4,2,-0.0004533849008510801,2.556533746769596e-05,-6.596955851584497e-06
full,5,2,-0.0004427170332859201,0.00016929761455032253,1.9678128864699632e-05
full,6,2,-0.0004450641627659228,0.0004774315092000374,-2.148241147308987e-05
full,7,2,-0.0004428675374362154,0.0005453365364008542,4.082504196954449e-05
