precision,batch,dimension,objective,g0,g1,g2,g3
half,0,4,-0.00042688657364957843,0.00038562518574010825,5.9075680623548637e-05,0.0008433153796136312,-0.0006304235144150323
half,1,4,-0.0004438571949815056,0.0001292913915087772,-4.723432937360423e-05,0.0011504165419700615,-0.0006187159884121112
half,2,4,-0.0004164115893722373,0.00019319115198036186,-3.772015425301092e-05,0.0009563513884896676,-0.000710364555176218
half,3,4,-0.00040979183154595395,0.0004404865346949434,8.050659458275794e-05,0.0009234603732480508,-0.0005141428765427073
half,4,4,-0.0004264437732354811,0.000507410558271518,4.32895216149906e-05,0.0010763268345647175,-0.0006898427934013976
half,5,4,-0.000430503334566999,0.0005821209812057959,7.894705269832517e-05,0.0009468224175218564,-0.0006461585893000633
half,6,4,-0.00043855879227886786,0.00020849878351029326,-9.88961717092483e-07,0.000914564860002897,-0.0006335505881570543
half,7,4,-0.0004558708288992837,0.00038703774201473195,3.994736096295261e-05,0.000893710165713489,-0.0006050380046088182
full,0,4,-0.000427676503981419,0.00020271752365550203,3.9788633434123356e-05,0.0008525438967475326,-0.0006528803918013724
full,1,4,-0.0004206826876375694,0.00037104713403151435,1.566361137296976e-06,0.0008948907397914668,-0.0006138138852767461
full,2,4,-0.00042441667070723964,0.0004322636053329338,-1.1514501188672758e-05,0.0009956408782877855,-0.0006468303481825499
full,3,4,-0.00042354161740093457,0.00020101818534416023,-7.908053196681986e-05,0.0009466753200780461,-0.0006250909038422914
full,4,4,-0.00042020196889117946,0.0002878779986113433,-4.3990878163201774e-05,0.0010318595138165357,-0.0007032271458036029
full,5,4,-0.0004239786501631814,0.0004693448655478671,3.593909733382649e-05,0.0009963140174765051,-0.0006341111236673123
full,6,4,-0.0004335767162839478,0.00040482871692691175,2.028450595385413e-05,0.0009003230832660789,-0.0005238652628564109
full,7,4,-0.00043655700736606784,0.0003158016443720167,4.51062297978634e-05,0.0009888894990537386,-0.0006283621180483675
