precision,batch,dimension,objective,g0,g1,g2,g3,g4,g5,g6,g7
half,0,8,-0.00043883402828353007,8.453765784350095e-05,-3.991294708887946e-05,0.0011439766141996665,-0.0007926373761026279,-0.0002848071664493666,0.00039304622351031754,4.385944848337886e-05,2.397333564683446e-06
half,1,8,-0.00044350125460295434,0.0003107013425402519,7.862127214868211e-05,0.0009787234123138813,-0.000625071128893234,-0.0003073080800257687,0.00019600989858131087,0.0001762598828301099,9.261462365486418e-05
half,2,8,-0.0004462429552341354,0.0004899751964217394,1.55463308341702e-05,0.0009129135992835022,-0.0006030851673588955,-0.00024403106471187835,0.0004201872682622615,8.104476318184306e-05,0.00010078528548056798
half,3,8,-0.000433186777189423,-3.77252725808726e-06,-5.620389104084918e-05,0.0011169314888666276,-0.0006373845274524291,-0.00039791319152675876,0.0003433860904456787,0.00021247536750111342,4.104688612373377e-09
half,4,8,-0.0004455077359365708,0.00013667908882194214,2.68475218744153e-05,0.000991166231462251,-0.0006189529017666146,-0.00012862462856168765,0.00035036953449972373,6.544441477116893e-05,0.00010922624981708745
half,5,8,-0.00043159686302659124,0.0002818396789245012,0.00010239562990333365,0.0009793115171347398,-0.0006809987816530998,-0.00035362856644239997,0.00041448757627148843,0.0002443154789334967,-4.5257111920163774e-05
half,6,8,-0.00042768192931962165,0.00030191568929842567,-1.4936474914062034e-05,0.0010561141943407298,-0.0007681627433517803,-0.0003035121607142557,0.00041191192736964136,0.0001482953703061839,7.626756655597688e-05
half,7,8,-0.00042905101439144724,0.00046153514014075296,-1.7695086795095775e-05,0.0009557898530184912,-0.0005823350138689073,-0.00011128824401383581,0.0003569514141006461,9.43600919419275e-05,-3.396767965160589e-06
full,0,8,-0.00043415810987437845,0.00042423012969786946,-2.416627755041966e-05,0.0009513810210008859,-0.000667903714998856,-0.0003119916806520349,0.000436977488258374,0.00016560766214106267,5.720847893936559e-05
full,1,8,-0.00043247979822889866,0.0002707973527400568,-5.5900789194959864e-06,0.0009414494330481885,-0.0006400745200421725,-0.0002562987039376943,0.0003192733033568017,0.00013897073590656047,5.9355189381484314e-05
full,2,8,-0.0004254809408813495,0.0002625072379338851,3.1098070613903775e-05,0.0009906645716663003,-0.0006332076111666622,-0.0002911978787784111,0.00037636520764723635,0.00019727435105824727,-5.151079403782274e-05
full,3,8,-0.0004397472540832095,0.0003585502628052753,-1.3679931902221615e-05,0.000965090319617028,-0.000638809393715405,-0.0003332083207952969,0.00030376982670669297,0.00013944073816107806,3.899231155901245e-05
full,4,8,-0.00042535246217107196,0.00027316681356360985,-6.192373154144999e-06,0.000909747252473759,-0.0004961865342899049,-0.0003379833624471922,0.00025659675903045816,0.00022714440661837477,8.095321999068991e-06
full,5,8,-0.0004360565564142163,0.0002939239622725521,1.748947263208172e-05,0.0010137472367801488,-0.0006691255976975997,-0.0002792870139969479,0.00033163970534955264,9.62816426806661e-05,2.9079117305367128e-05
full,6,8,-0.00042936217366261237,0.0004251045440433156,4.836269688767894e-06,0.0010318007990699825,-0.000650982342668504,-0.0002850450132082347,0.0003094489346760869,0.0001665326857413327,1.9063678403517811e-06
full,7,8,-0.00043146834435871647,0.00030903410503867873,-1.700780398385778e-05,0.0009950516993585718,-0.0007056205590309893,-0.0003441716566391559,0.0003423848107310171,0.00015032918402100895,8.991217821121029e-05
