dimension,M,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
2,8,0,28,-0.0022197475423651955,0.0024213691178399583,,,,,,,,
2,16,0,54,0.003358033269365527,-0.0011688230456625664,,,,,,,,
2,32,0,112,-0.010558196464681615,-0.001400606156617433,,,,,,,,
2,64,0,234,0.0046080513509028035,0.004125008080817974,,,,,,,,
2,128,0,542,0.0037261355196621495,0.0034945938988535314,,,,,,,,
2,8,1,26,0.0018977237261877875,-0.0018616152684660207,,,,,,,,
2,16,1,74,0.01871602475325641,0.002173055840299185,,,,,,,,
2,32,1,128,0.012782054050121417,0.002268453946144057,,,,,,,,
2,64,1,282,0.007230539999074004,0.0012967332885313841,,,,,,,,
2,128,1,580,0.012563220214935092,0.001534306328888445,,,,,,,,
2,8,2,44,0.005886042246902055,-0.003623236345083709,,,,,,,,
2,16,2,70,-0.0027285521780058704,-0.003078016970356919,,,,,,,,
2,32,2,194,-0.0018699668397018133,-0.00682621744608228,,,,,,,,
2,64,2,362,-0.04277040569111146,-0.007389120940267563,,,,,,,,
2,128,2,634,-0.02045275979373696,-0.003031655435249263,,,,,,,,
2,8,3,28,-0.032844953290598056,0.008100963928462481,,,,,,,,
2,16,3,62,-0.02413859070284355,0.004558932634291802,,,,,,,,
2,32,3,162,-0.029778073524960053,0.00952452187276772,,,,,,,,
2,64,3,292,-0.019142656196366556,-0.005398579959454226,,,,,,,,
2,128,3,586,-0.0011074179818107747,-0.00800370069432987,,,,,,,,
2,8,4,28,-0.025781878555237614,0.00135366701602561,,,,,,,,
2,16,4,88,9.544595466922951e-05,-0.0007733703758993275,,,,,,,,
2,32,4,180,-0.06058947977038716,0.004049683146561669,,,,,,,,
2,64,4,384,-0.03558527356006809,-0.003863244734201732,,,,,,,,
2,128,4,632,-0.010537332214426105,-0.0020676804646621427,,,,,,,,
2,8,5,28,-0.028924391949409267,-0.007085676213172265,,,,,,,,
2,16,5,90,-0.011066387115191562,-0.0020009233222304705,,,,,,,,
2,32,5,172,-0.02111278565433526,-0.0022222213367674177,,,,,,,,
2,64,5,306,-0.0031031309699084643,-0.0027649158355126905,,,,,,,,
2,128,5,606,-0.005235421222537111,0.001596734183169177,,,,,,,,
2,8,6,34,-0.013599443900594766,-0.003113015755668162,,,,,,,,
