dimension,M,cost,variance_trace,mse,reference_variance_trace
2,8,37.73,0.0023746983308068595,0.0023666246852566274,3.470798831576522e-09
2,16,77.17,0.0009691393029418201,0.0009651491571066426,3.470798831576522e-09
2,32,153.09,0.0006367084395541807,0.0006336845401735075,3.470798831576522e-09
2,64,308.97,0.0003187543079211229,0.00031764232818308924,3.470798831576522e-09
2,128,620.33,0.00015822006390122672,0.00015747708790054695,3.470798831576522e-09
4,8,38.69,0.0032224449185292506,0.0032135764244163854,2.3308398113157647e-09
4,16,78.44,0.0016546085484621898,0.001661201711451455,2.3308398113157647e-09
4,32,155.7,0.0007148213519689644,0.000717798125678907,2.3308398113157647e-09
4,64,312.59,0.00038042155301193104,0.0003810736859316357,2.3308398113157647e-09
4,128,622.37,0.00021705419635159508,0.00021623555619856814,2.3308398113157647e-09
8,8,39.09,0.005996797180828396,0.0060212086124099996,2.209358107978751e-09
8,16,78.37,0.0031861026291173647,0.0031771158721476144,2.209358107978751e-09
8,32,153.68,0.001620773134518984,0.0016170069141319531,2.209358107978751e-09
8,64,313.39,0.0008154910139909709,0.0008131833194151155,2.209358107978751e-09
8,128,626.3,0.00040412659383921526,0.00040341666592119295,2.209358107978751e-09
10,8,38.64,0.0067624461138265455,0.006751344996928242,5.209031269634781e-09
10,16,79.1,0.0036735475212508737,0.003664266978130534,5.209031269634781e-09
10,32,153.74,0.0015790295193701365,0.001577126724648275,5.209031269634781e-09
10,64,307.74,0.0008138579530945369,0.0008111624425196705,5.209031269634781e-09
10,128,618.86,0.00038977338172600307,0.00038969436573604366,5.209031269634781e-09
