seed,method,episode,day,date,regime,wealth,reference,cash,objective,q_squared,dynamic_local_regret,cumulative_q_squared,average_q_squared,average_dynamic_local_regret,diagnostic_gradient_gap,gradient_squared,theta_norm,update_norm,training_trajectories,training_steps,evaluation_trajectories,theta_0,gradient_0,q_0,theta_1,gradient_1,q_1,theta_2,gradient_2,q_2,theta_3,gradient_3,q_3,theta_4,gradient_4,q_4,theta_5,gradient_5,q_5,theta_6,gradient_6,q_6,theta_7,gradient_7,q_7,theta_8,gradient_8,q_8,theta_9,gradient_9,q_9
29,dynamic,1,0,20230301,uptrend_momentum,0.9936936312640505,0.9989333261481781,0.03225806451612904,-0.0004871783980535478,2.6156386556233474e-06,2.6156386556233474e-06,2.6156386556233474e-06,2.6156386556233474e-06,2.6156386556233474e-06,0.0015743373102999603,0.00011905509016542384,0.0,0.0005455618438028448,292,1460,6144,0.0,0.002768214479380589,0.000920744836358157,0.0,0.0022222225924065277,1.3449434169612307e-05,0.0,0.008691768637620098,0.0008482013313801526,0.0,0.0032125690708304407,-0.0007941597390143812,0.0,-0.0010653205284919002,-0.00024490303667207183,0.0,-0.0027946788245301786,0.00045649549139132565,0.0,-0.0033286624424408977,0.00015917581525622929,0.0,0.0005555294146560761,-0.00033890836068028166,0.0,-0.0004151353399505206,-2.597306697550774e-06,0.0,0.00028334065919418284,9.47804352270488e-05
29,dynamic,2,5,20230308,uptrend_momentum,0.9961899704052891,0.9968908352865765,0.03226153311230418,-0.0014018793941551983,1.6629702938440792e-05,1.011592543736916e-05,1.924534159406414e-05,9.62267079703207e-06,5.05796271868458e-06,0.001903670832968675,0.0005531779928246543,0.0005455618438028448,0.0011759868120270885,332,1660,6144,0.00013841072396902944,0.002745443740563014,-0.00013321621898260648,0.0001111111296203264,-0.007345808739308528,-0.00023383447632486528,0.00043458843188100494,0.01971276352158513,0.0031265327883651666,0.00016062845354152205,0.0017528626803148878,-0.002269916194021331,-5.326602642459502e-05,-0.0063080514192442325,-0.0006766258528989442,-0.00013973394122650894,0.004210074509448022,0.0005084596909359676,-0.0001664331221220449,-0.002817571760664686,0.0007187332692774678,2.7776470732803807e-05,0.005299316796496303,0.0006296484809771403,-2.075676699752603e-05,-0.001177189317110757,-3.5626658104281845e-06,1.4167032959709142e-05,-0.002256228781884057,-1.2239029830757279e-05
29,dynamic,3,10,20230315,uptrend_momentum,0.9988793987302371,0.9986026870596233,0.032250101751957035,-0.0004265122758537192,2.619069875582425e-06,1.5136678379996024e-05,2.1864411469646566e-05,7.288137156548856e-06,5.045559459998675e-06,0.0016991802513755011,0.0007561614627541445,0.0015992011168455614,0.0013749195092387632,392,1960,6144,0.0002756829109971801,-0.007389865892584701,-0.0005667576058268674,-0.00025617930734510004,-0.006469651406967137,0.0001359861710774758,0.0014202266079602615,0.002646558689027145,0.0009723950781374922,0.00024827158755726645,0.0016911481537735373,-0.0009980209229758447,-0.00036866859738680664,0.007574549955266264,-0.0004293129376409992,7.07697842458922e-05,0.022369409090399795,-0.00016927062564883012,-0.0003073117101552792,-0.009023314359125081,0.00022003823890721854,0.0002927423105576189,0.0025740583512799072,0.00027502926745760206,-7.961623285306389e-05,3.0072790345156785e-05,2.66888609520697e-05,-9.864440613449371e-05,-0.00200488096230626,5.75668653547218e-06
29,dynamic,4,15,20230322,uptrend_momentum,1.0078555526143298,1.0026676117785462,0.03223996620649405,-0.00022865992868641033,1.0753564508157017e-06,1.8530414580795414e-05,2.2939767920462267e-05,5.734941980115567e-06,4.632603645198854e-06,0.0006643018765721142,0.0003925282268814564,0.002253655882888308,0.000990616256278707,268,1340,6144,-9.3810383632055e-05,0.00299219261245157,0.0003778006080964338,-0.000579661877693457,-0.0023251727190844542,-0.00021064610171260848,0.0015525545424116187,0.001217066688538794,0.0007051054781546983,0.00033282899524594335,-0.017315190358568943,-0.0003465683706550696,1.0058900376506605e-05,0.001442624475359903,-9.266896494445617e-05,0.0011892402387658821,-0.00533264520459087,0.00047059106158866756,-0.0007584774281115332,0.0018011314162166485,0.0001348215029911082,0.00042144522812161426,-0.006457307522851091,0.00014304195159863128,-7.811259333580605e-05,0.0010776833118276345,-3.527215230669762e-05,-0.0001988884542498067,0.0005009463058504448,3.2288599897998356e-05
29,dynamic,5,20,20230329,uptrend_momentum,1.0028689772963157,1.0058740874135033,0.032236339250952206,2.9515438888741215e-05,2.97203266218295e-07,2.0774018788966264e-05,2.323697118668056e-05,4.647394237336112e-06,4.154803757793253e-06,0.0006189005181980944,0.0001546159059599678,0.002172508164056756,0.0006217232221012172,328,1640,6144,5.579924699052353e-05,-0.0009364030216812635,0.0003155543404474267,-0.0006959205136476797,-0.0007571895222593814,-3.293353146131828e-05,0.0016134078768385584,9.126494710374252e-05,0.0002953751683864485,-0.0005329305226825039,0.004432742737367483,-0.0002402313426444003,8.219012414450175e-05,0.005696153570039625,-2.7888212838136494e-05,0.0009226079785363385,-0.004973399361713732,-1.763332806005739e-05,-0.0006684208573007008,-0.004095075929261593,0.00010525692641748154,9.857985197905968e-05,0.007713753245416289,0.00019819089826814547,-2.4228427744424325e-05,0.00020664616285707155,-6.999374624637645e-06,-0.00017384113895728445,-0.0001139147194144687,9.496748202008384e-06
29,dynamic,6,25,20230406,uptrend_momentum,1.0211120256982624,1.0127921015127972,0.03223537605021287,-0.0008095951696050436,1.05893914479646e-05,2.426491405055669e-05,3.382636263464516e-05,5.637727105774194e-06,4.044152341759448e-06,0.0015249651806680078,0.000970598083545059,0.0022071482166638712,0.0015577211588929027,276,1380,6144,8.979095906460355e-06,-0.007876965630324863,0.0013616303409515538,-0.0007337799897606487,-0.0013389787590403156,-0.00017588129537270472,0.0016179711241937455,-0.005277689251972527,0.0017885390909882972,-0.0003112933858141297,0.012260107875237165,-0.0012836895441414127,0.000366997802646483,0.01771118008958195,-0.0011672408175058993,0.0006739380104506519,0.007126321446814946,0.0005086492492137372,-0.0008731746537637804,-0.017733673550306923,0.0014821536967161118,0.00048426751424987416,0.006999766330790625,-0.00013671676264338513,-1.3896119601570747e-05,-0.0007812488660715826,0.0001118639959083685,-0.0001795368749280079,-0.00018376435872555837,9.235428813266595e-05
29,dynamic,7,30,20230413,uptrend_momentum,1.0241955309901274,1.019731625212935,0.03223310027618592,0.00016444052988416998,3.360776141046706e-07,2.577722254365526e-05,3.416244024874983e-05,4.8803486069642615e-06,3.682460363379323e-06,0.00023983577839741262,0.0002746944107453237,0.003029141770565177,0.0008286953763979313,304,1520,6144,-0.00038486918560978284,0.004709247642153578,0.0001757609407128239,-0.0008007289277126645,0.0003398321274202857,-1.905155826095479e-05,0.0013540866615951192,0.0018659959698229507,0.00040931930066119733,0.0003017120079477286,0.011534679477058133,0.00014014109175857175,0.0012525568071255805,-0.005265083871026532,-0.0002798348597826336,0.0010302540827913991,-0.008786974756332978,-6.977729978171684e-05,-0.0017598583312791265,0.003030858380925422,0.00017672916392068392,0.0008342558307894055,0.0011186910936806425,-5.2701913116261906e-05,-5.295856290514988e-05,0.0006702526807737109,2.0828479848119922e-05,-0.0001887250928642858,-0.00022868195324224117,-4.4714142943651225e-06
29,dynamic,8,35,20230420,uptrend_momentum,1.0333752120547712,1.0288296675602089,0.03223358823914321,-6.172060528454865e-06,7.648723715318085e-07,2.7062802624753474e-05,3.492731262028164e-05,4.365914077535205e-06,3.382850328094184e-06,0.0005241382777895155,0.00015388945847793866,0.002872387423527781,0.0006202609500805663,354,1770,6144,-0.00014940680350210392,-0.005014492749522566,-1.9660122875608897e-05,-0.0007837373213416502,0.00025299912156101956,-6.013816726278213e-05,0.0014473864600862668,-0.009659213741501353,0.000626412284279146,0.0008784459818006353,0.002358970036613792,-0.0003980939634627332,0.000989302613574254,0.0028088042197444603,-0.0002702166051611718,0.0005909053449747502,-0.0034177145331490185,-0.00010496962071939071,-0.0016083154122328554,-0.0024379258545114482,0.00018395032385996272,0.0008901903854734376,-0.0020595061770072925,0.000303476580168023,-1.944592886646433e-05,-0.00024459969816600317,4.7539664061711795e-06,-0.00020015919052639787,-1.1475941861248371e-05,2.02651505206374e-06
29,dynamic,9,40,20230427,uptrend_momentum,1.0361019233817896,1.0348191432777194,0.032233983580008924,1.263680397098149e-05,7.06986841247095e-07,2.8135720149775995e-05,3.563429946152873e-05,3.959366606836526e-06,3.126191127752888e-06,0.0003284377543217912,0.000433882326659294,0.002790156353983972,0.001041492110698989,258,1290,6144,-0.00040013144097823225,-0.008089287114299746,0.00018941395801293074,-0.0007710873652635993,-0.0029478276298899177,-0.00019451905816173778,0.0009644257730111991,-0.004998762238357824,0.000537499227820789,0.000996394483631325,0.0014449907919918824,-0.00042046693298569606,0.001129742824561477,-0.00928111960388555,0.00017286023070966182,0.00042001961831729926,-0.00861849490952097,0.0003616775679926012,-0.0017302117049584277,0.006239746640024182,-3.162461493446452e-05,0.000787215076623073,-0.011534978251507342,7.577202739230066e-05,-3.167591377476449e-05,-4.549252375050839e-05,-2.9432985942096763e-06,-0.0002007329876194603,-0.000520176922188005,1.1496354420045558e-05
29,dynamic,10,45,20230509,uptrend_momentum,1.028888408444327,1.0350516995705912,0.03222937676717449,-0.00021104721572489716,2.5888382291773193e-06,2.9676943733765233e-05,3.8223137690706055e-05,3.822313769070605e-06,2.9676943733765233e-06,0.0008072623522111,0.00034673016627163904,0.0023864092364244,0.0009310345942440042,264,1320,6144,-0.0008045957966932196,0.011492532769776987,0.0004978424662300282,-0.0009184787467580952,-0.0006256199129890595,1.3399222409051122e-05,0.0007144876610933079,-0.00486551723020264,0.0010409804335579568,0.001068644023230919,-0.005076880788327778,-0.0008785977628933189,0.0006656868443671995,0.0025952296325979242,-0.0001144422237141251,-1.090512715874926e-05,0.006030605421512936,0.00048552984080246103,-0.0014182243729572185,-0.00827903046452398,0.0004821691533069038,0.00021046616404770584,-0.007219301943837875,-3.483346109126148e-05,-3.395053996228991e-05,-0.0005291874594463787,-4.826429894032032e-05,-0.00022674183372886056,0.0008765592526885627,1.9264552413901796e-05
