method,seed,terminal_wealth,annualized_return,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash
dynamic,29,1.208753362763019,0.17263719110291875,1.0707370336912307,0.11839488655807484,1.6363037021473308,0.12757617213055908,0.0034256788845009943,0.03199213152400113
symmetric,29,1.2046633560176454,0.1693033340268102,1.0632161991312405,0.11776097077537662,1.2692653766405233,0.16124552027043074,0.002620956750256986,0.0321001129577641
static,29,1.2080464271135039,0.1720610810394756,1.0725829329068135,0.11842261125934372,1.6804277418411895,0.12380563706092725,0.0035348208020133057,0.032326646634703714
expected,29,1.2059115146625454,0.17032092812156852,1.0686424407731314,0.11776373733473244,1.0316396396962972,0.19959635781653698,0.002081104528561569,0.03220753469458848
exponential,29,1.2058995394980034,0.1703111658552814,1.0683308259404534,0.11774738028283283,0.9830280187335912,0.2094543955758843,0.0019704688944925074,0.03226028449360822
equal_weight,29,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,147,1.2005879984397285,0.1659796160238045,1.0523172299295678,0.11721814962960897,1.5048069795743322,0.13329815794479452,0.0031635990213288922,0.032197389853010745
symmetric,147,1.2041640874036061,0.16889624495787103,1.0630858072890421,0.11747000081190617,1.2859272403330002,0.1587679932425542,0.0026754377707301972,0.03239605398104242
static,147,1.1981379406927206,0.16398056665798677,1.0438820944486162,0.11726613677602526,2.192262373453614,0.09038057811510078,0.004722480787015565,0.03240858576971814
expected,147,1.205660549236051,0.17011633551154715,1.0665939332861296,0.11775596401240851,1.0766007423649493,0.19102768662808112,0.002188353677485726,0.032245342694240585
exponential,147,1.205908820275789,0.170318731633603,1.0681973725295026,0.11775677461340117,0.9880607292674514,0.2083969276144088,0.001982369162540661,0.03225316371116832
equal_weight,147,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,3141,1.2036390313444578,0.1684681004227775,1.0570562743843546,0.11738735372709119,1.78980053684271,0.1137775004267718,0.0038255180738162044,0.032138994006882596
symmetric,3141,1.206240003108807,0.1705887089316911,1.0676751541702438,0.11760757644013553,1.3955944622987757,0.1477793217730998,0.0029209946604987426,0.0323017901729875
static,3141,1.207638865181964,0.17172891804983093,1.0689927073341838,0.11755758251518,1.7927616363027457,0.1158206763115383,0.003816636663378037,0.03183875850032313
expected,3141,1.2058637788264008,0.17028201332855653,1.068560982303078,0.11777932845204753,1.0331589831126748,0.19925663154588244,0.0020848794525482736,0.032277280122335134
exponential,3141,1.2059109995110293,0.17032050816554722,1.0684010797174481,0.117766987215149,0.9836476582564538,0.20933410229025806,0.001971150738373857,0.032256800980469603
equal_weight,3141,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,42,1.2062089515962569,0.17056339651891306,1.0646006061665199,0.11848139898043919,1.421486895852806,0.14506567186646063,0.0029512303944797874,0.032236331943733564
symmetric,42,1.205202520960765,0.1697429230839218,1.0647129290449031,0.11802009317044093,1.3344931821702326,0.15376812988062813,0.002780314788219122,0.03234067225699248
static,42,1.2082118359813587,0.17219588415767162,1.06863698788949,0.11862523625608534,1.951136873652961,0.1067130854800258,0.004196620446909831,0.031804429099056876
expected,42,1.2059865336280335,0.1703820839318817,1.0687563386841417,0.11777508951095217,1.019829553517068,0.20198133395688667,0.00205191681435495,0.0322103961492937
exponential,42,1.2059448592373738,0.1703481108495295,1.068509505715001,0.117752222538271,0.9811203141743451,0.20990785356501895,0.0019658641559509053,0.032256007333022654
equal_weight,42,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,3407,1.2060128999680275,0.17040357775057435,1.066024486507288,0.11832273776513214,1.577643789004665,0.1305826457175108,0.003347756636683644,0.031957957155727225
symmetric,3407,1.2047779548947972,0.1693967707999231,1.064045006985829,0.11793261698365742,1.257845239943882,0.16280059612415695,0.002607528370872236,0.032109777537960016
static,3407,1.2023765379132134,0.16743850769381385,1.0485095861852531,0.11871006943433537,2.293685648347073,0.08823202868233253,0.004926060725121032,0.031934171994912997
expected,3407,1.2055709311480785,0.17004327519753692,1.0668677590382796,0.11771361747010234,1.092865942087683,0.18810260548094293,0.0022279002541070354,0.03228571318809422
exponential,3407,1.205930717937914,0.17033658277911568,1.0681272405641522,0.11776490094476344,1.0022961218062258,0.20545895914154458,0.0020138154061099356,0.032263712969929546
equal_weight,3407,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,592,1.2015970537811704,0.1668027339116347,1.0534348330115546,0.11771482958147939,1.5207886223570428,0.13256086402640152,0.003194192407665511,0.03200379573896464
symmetric,592,1.2053101749073294,0.16983069115085536,1.06435798330084,0.11789848305305606,1.233571640659381,0.16643555034840532,0.002533553403401222,0.03221106323239392
static,592,1.2030270309625017,0.16796902148046322,1.057704868091581,0.11798283321437131,1.3601101309647647,0.1492724937049685,0.002815832279065382,0.03205622488963973
expected,592,1.2052756858056386,0.1698025730262358,1.0666034398376179,0.11767198035281723,1.0545003157234312,0.19466631042666965,0.0021326849546088756,0.032297145765828233
exponential,592,1.205750574668316,0.17018972703437663,1.067905463339993,0.11772535714152765,1.012994577209581,0.2031112301065632,0.002039352170021717,0.032277547692072445
equal_weight,592,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,7,1.2059037054356134,0.17031456196839634,1.0681837416870223,0.11774415854675757,1.353494439804213,0.15212748525616257,0.002793382866259219,0.03264315623396364
symmetric,7,1.2058686070393987,0.17028594935355246,1.0685816268812154,0.11772233188841263,1.1798552238271294,0.1744863292392917,0.0024181830119165268,0.03251203937439683
static,7,1.201588531340581,0.16679578235447523,1.05022095116811,0.11792734199502086,1.9136076815410095,0.10534475445784358,0.004076958974444845,0.032216625938855256
expected,7,1.205675388851899,0.17012843328671035,1.0676370717496706,0.1177422924767565,1.0377019219058106,0.19820276373215348,0.0020958669355594763,0.03234169331872584
exponential,7,1.2056525720168505,0.17010983219290243,1.0675808150084165,0.11774506051835676,1.0149890066421479,0.20261556595297875,0.0020443616137389366,0.032261192718461215
equal_weight,7,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,101,1.2078551622212004,0.17190520237817042,1.0711000455478161,0.11802917506496013,1.3402380976836084,0.15508823587424164,0.002769979619180137,0.032151857714183274
symmetric,101,1.2057890301431184,0.17022107686216148,1.0652698645811416,0.1178600845059028,1.2495080672633598,0.16469603961327936,0.002578186232255436,0.03238752130407571
static,101,1.204712589043355,0.16934347573792485,1.064984838763545,0.11769300311331876,1.3302811953811626,0.15388670437057417,0.0027380483709165703,0.032266087043846724
expected,101,1.2051033292778126,0.16966205301756476,1.0663264223711504,0.11766621423447965,1.134701188183741,0.1807553666230941,0.0023155814761664497,0.03226261180666652
exponential,101,1.205965962723516,0.17036531449521286,1.0685585018529762,0.11774750973093073,0.9843475196528673,0.20924110500745755,0.001973525059618467,0.032261563235899994
equal_weight,101,1.2128332368487484,0.1759609910970521,1.0684158043772392,0.12153605147473268,1.0000000000000004,0.21283323684874836,0.002000000000000001,0.0
dynamic,2024,1.2044341361885558,0.1691164382147876,1.059989418455245,0.11786495402844643,1.6019014789478958,0.12761966879687567,0.003383493410590602,0.032347120601117864
symmetric,2024,1.2035846139703708,0.16842372535433392,1.0615692425506018,0.11756923348371462,1.3336745941282668,0.1526493905385071,0.0027554966983248863,0.03225413500258884
static,2024,1.2042752700914252,0.16898690241634395,1.0611775965651022,0.11779870669797576,1.5335987375717297,0.1331999466919689,0.0031982484456298515,0.03220619779730801
expected,2024,1.2057388598227543,0.17018017677878183,1.0675193285832691,0.11775418274566807,1.0292053203973381,0.199900695949887,0.0020724280796087942,0.0322777147710363
exponential,2024,1.2059371292313503,0.17034180930587772,1.0683482880121156,0.11775467099129355,0.9829010588688881,0.20951969414738503,0.001969246839975394,0.03226347384251771
