date,observed_assets,total_assets,coverage
20230103,300,300,1.0
20230104,300,300,1.0
20230105,300,300,1.0
20230106,300,300,1.0
20230109,300,300,1.0
20230110,300,300,1.0
20230111,300,300,1.0
20230112,300,300,1.0
20230113,300,300,1.0
20230116,300,300,1.0
20230117,300,300,1.0
20230118,300,300,1.0
20230119,300,300,1.0
20230120,300,300,1.0
20230130,300,300,1.0
20230131,300,300,1.0
20230201,300,300,1.0
20230202,300,300,1.0
20230203,300,300,1.0
20230206,300,300,1.0
20230207,300,300,1.0
20230208,300,300,1.0
20230209,300,300,1.0
20230210,300,300,1.0
20230213,300,300,1.0
20230214,300,300,1.0
20230215,300,300,1.0
20230216,300,300,1.0
20230217,300,300,1.0
20230220,300,300,1.0
20230221,300,300,1.0
20230222,300,300,1.0
20230223,300,300,1.0
20230224,300,300,1.0
20230227,300,300,1.0
20230228,300,300,1.0
20230301,300,300,1.0
20230302,300,300,1.0
20230303,300,300,1.0
20230306,300,300,1.0
20230307,300,300,1.0
20230308,300,300,1.0
20230309,300,300,1.0
20230310,300,300,1.0
20230313,300,300,1.0
20230314,300,300,1.0
20230315,300,300,1.0
20230316,300,300,1.0
20230317,300,300,1.0
20230320,300,300,1.0
20230321,300,300,1.0
20230322,300,300,1.0
20230323,300,300,1.0
20230324,300,300,1.0
20230327,300,300,1.0
20230328,300,300,1.0
20230329,300,300,1.0
20230330,300,300,1.0
20230331,300,300,1.0
20230403,300,300,1.0
20230404,300,300,1.0
20230406,300,300,1.0
20230407,300,300,1.0
20230410,300,300,1.0
20230411,300,300,1.0
20230412,300,300,1.0
20230413,300,300,1.0
20230414,300,300,1.0
20230417,300,300,1.0
20230418,300,300,1.0
20230419,300,300,1.0
20230420,300,300,1.0
20230421,300,300,1.0
20230424,300,300,1.0
20230425,300,300,1.0
20230426,300,300,1.0
20230427,300,300,1.0
20230428,300,300,1.0
20230504,300,300,1.0
20230505,300,300,1.0
20230508,300,300,1.0
20230509,300,300,1.0
20230510,300,300,1.0
20230511,300,300,1.0
20230512,300,300,1.0
20230515,300,300,1.0
20230516,300,300,1.0
20230517,300,300,1.0
20230518,300,300,1.0
20230519,300,300,1.0
20230522,300,300,1.0
20230523,300,300,1.0
20230524,300,300,1.0
20230525,300,300,1.0
20230526,300,300,1.0
20230529,300,300,1.0
20230530,300,300,1.0
20230531,300,300,1.0
20230601,300,300,1.0
20230602,300,300,1.0
20230605,300,300,1.0
20230606,300,300,1.0
20230607,300,300,1.0
20230608,300,300,1.0
20230609,300,300,1.0
20230612,300,300,1.0
20230613,300,300,1.0
20230614,300,300,1.0
20230615,300,300,1.0
20230616,300,300,1.0
20230619,300,300,1.0
20230620,300,300,1.0
20230621,300,300,1.0
20230626,300,300,1.0
20230627,300,300,1.0
20230628,300,300,1.0
20230629,300,300,1.0
20230630,300,300,1.0
20230703,300,300,1.0
20230704,300,300,1.0
20230705,300,300,1.0
20230706,300,300,1.0
20230707,300,300,1.0
20230710,300,300,1.0
20230711,300,300,1.0
20230712,300,300,1.0
20230713,300,300,1.0
20230714,300,300,1.0
20230717,300,300,1.0
20230718,300,300,1.0
20230719,300,300,1.0
20230720,300,300,1.0
20230721,300,300,1.0
20230724,300,300,1.0
20230725,300,300,1.0
20230726,300,300,1.0
20230727,300,300,1.0
20230728,300,300,1.0
20230731,300,300,1.0
20230801,300,300,1.0
20230802,300,300,1.0
20230803,300,300,1.0
20230804,300,300,1.0
20230807,300,300,1.0
20230808,300,300,1.0
20230809,300,300,1.0
20230810,300,300,1.0
20230811,300,300,1.0
20230814,300,300,1.0
20230815,300,300,1.0
20230816,300,300,1.0
20230817,300,300,1.0
20230818,300,300,1.0
20230821,300,300,1.0
20230822,300,300,1.0
20230823,300,300,1.0
20230824,300,300,1.0
20230825,300,300,1.0
20230828,300,300,1.0
20230829,300,300,1.0
20230830,300,300,1.0
20230831,300,300,1.0
20230901,300,300,1.0
20230904,300,300,1.0
20230905,300,300,1.0
20230906,300,300,1.0
20230907,300,300,1.0
20230908,300,300,1.0
20230911,300,300,1.0
20230912,300,300,1.0
20230913,300,300,1.0
20230914,300,300,1.0
20230915,300,300,1.0
20230918,300,300,1.0
20230919,300,300,1.0
20230920,300,300,1.0
20230921,300,300,1.0
20230922,300,300,1.0
20230925,300,300,1.0
20230926,300,300,1.0
20230927,300,300,1.0
20230928,300,300,1.0
20231009,300,300,1.0
20231010,300,300,1.0
20231011,300,300,1.0
20231012,300,300,1.0
20231013,300,300,1.0
20231016,300,300,1.0
20231017,300,300,1.0
20231018,300,300,1.0
20231019,300,300,1.0
20231020,300,300,1.0
20231023,300,300,1.0
20231024,300,300,1.0
20231025,300,300,1.0
20231026,300,300,1.0
20231027,300,300,1.0
20231030,300,300,1.0
20231031,300,300,1.0
20231101,300,300,1.0
20231102,300,300,1.0
20231103,300,300,1.0
20231106,300,300,1.0
20231107,300,300,1.0
20231108,300,300,1.0
20231109,300,300,1.0
20231110,300,300,1.0
20231113,300,300,1.0
20231114,300,300,1.0
20231115,300,300,1.0
20231116,300,300,1.0
20231117,300,300,1.0
20231120,300,300,1.0
20231121,300,300,1.0
20231122,300,300,1.0
20231123,300,300,1.0
20231124,300,300,1.0
20231127,300,300,1.0
20231128,300,300,1.0
20231129,300,300,1.0
20231130,300,300,1.0
20231201,300,300,1.0
20231204,300,300,1.0
20231205,300,300,1.0
20231206,300,300,1.0
20231207,300,300,1.0
20231208,300,300,1.0
20231211,300,300,1.0
20231212,300,300,1.0
20231213,300,300,1.0
20231214,300,300,1.0
20231215,300,300,1.0
20231218,300,300,1.0
20231219,300,300,1.0
20231220,300,300,1.0
20231221,300,300,1.0
20231222,300,300,1.0
20231225,300,300,1.0
20231226,300,300,1.0
20231227,300,300,1.0
20231228,300,300,1.0
20231229,300,300,1.0
20240102,300,300,1.0
20240103,300,300,1.0
20240104,300,300,1.0
20240105,300,300,1.0
20240108,300,300,1.0
20240109,300,300,1.0
20240110,300,300,1.0
20240111,300,300,1.0
20240112,300,300,1.0
20240115,300,300,1.0
20240116,300,300,1.0
20240117,300,300,1.0
20240118,300,300,1.0
20240119,300,300,1.0
20240122,300,300,1.0
20240123,300,300,1.0
20240124,300,300,1.0
20240125,300,300,1.0
20240126,300,300,1.0
20240129,300,300,1.0
20240130,300,300,1.0
20240131,300,300,1.0
20240201,300,300,1.0
20240202,300,300,1.0
20240205,300,300,1.0
20240206,300,300,1.0
20240207,300,300,1.0
20240208,300,300,1.0
20240219,300,300,1.0
20240220,300,300,1.0
20240221,300,300,1.0
20240222,300,300,1.0
20240223,300,300,1.0
20240226,300,300,1.0
20240227,300,300,1.0
20240228,300,300,1.0
20240229,300,300,1.0
20240301,300,300,1.0
20240304,300,300,1.0
20240305,300,300,1.0
20240306,300,300,1.0
20240307,300,300,1.0
20240308,300,300,1.0
20240311,300,300,1.0
20240312,300,300,1.0
20240313,300,300,1.0
20240314,300,300,1.0
20240315,300,300,1.0
20240318,300,300,1.0
20240319,300,300,1.0
20240320,300,300,1.0
20240321,300,300,1.0
20240322,300,300,1.0
20240325,300,300,1.0
20240326,300,300,1.0
20240327,300,300,1.0
20240328,300,300,1.0
20240329,300,300,1.0
20240401,300,300,1.0
20240402,300,300,1.0
20240403,300,300,1.0
20240408,300,300,1.0
20240409,300,300,1.0
20240410,300,300,1.0
20240411,300,300,1.0
20240412,300,300,1.0
20240415,300,300,1.0
20240416,300,300,1.0
20240417,300,300,1.0
20240418,300,300,1.0
20240419,300,300,1.0
20240422,300,300,1.0
20240423,300,300,1.0
20240424,300,300,1.0
20240425,300,300,1.0
20240426,300,300,1.0
20240429,300,300,1.0
20240430,300,300,1.0
20240506,300,300,1.0
20240507,300,300,1.0
20240508,300,300,1.0
20240509,300,300,1.0
20240510,300,300,1.0
20240513,300,300,1.0
20240514,300,300,1.0
20240515,300,300,1.0
20240516,300,300,1.0
20240517,300,300,1.0
20240520,300,300,1.0
20240521,300,300,1.0
20240522,300,300,1.0
20240523,300,300,1.0
20240524,300,300,1.0
20240527,300,300,1.0
20240528,300,300,1.0
20240529,300,300,1.0
20240530,300,300,1.0
20240531,300,300,1.0
20240603,300,300,1.0
20240604,300,300,1.0
20240605,300,300,1.0
20240606,300,300,1.0
20240607,300,300,1.0
20240611,300,300,1.0
20240612,300,300,1.0
20240613,300,300,1.0
20240614,300,300,1.0
20240617,300,300,1.0
20240618,300,300,1.0
20240619,300,300,1.0
20240620,300,300,1.0
20240621,300,300,1.0
20240624,300,300,1.0
20240625,300,300,1.0
20240626,300,300,1.0
20240627,300,300,1.0
20240628,300,300,1.0
20240701,300,300,1.0
20240702,300,300,1.0
20240703,300,300,1.0
20240704,300,300,1.0
20240705,300,300,1.0
20240708,300,300,1.0
20240709,300,300,1.0
20240710,300,300,1.0
20240711,300,300,1.0
20240712,300,300,1.0
20240715,300,300,1.0
20240716,300,300,1.0
20240717,300,300,1.0
20240718,300,300,1.0
20240719,300,300,1.0
20240722,300,300,1.0
20240723,300,300,1.0
20240724,300,300,1.0
20240725,300,300,1.0
20240726,300,300,1.0
20240729,300,300,1.0
20240730,300,300,1.0
20240731,300,300,1.0
20240801,300,300,1.0
