reference,metric,estimate,lower,upper
asymmetric,log_loss,0.5778076523500484,0.5631628627842256,0.5975579395360098
asymmetric,brier,0.18641817417459494,0.18172357819524446,0.192582410945162
asymmetric,auroc,0.781754648506251,0.7705919260547235,0.790259755375985
asymmetric,auprc,0.8090028602948269,0.7982376950613242,0.8202692789973448
asymmetric,calibration_slope,0.11288230778823417,0.10128586512682781,0.12282359160383204
none,log_loss,0.602741528634666,0.5866793816487323,0.620007683076756
none,brier,0.19595391651063215,0.19108302274128564,0.20211249713422805
none,auroc,0.7605705599773049,0.7489824761434849,0.7698373624350526
none,auprc,0.7907302494249061,0.7790893323111693,0.8031323008118495
none,calibration_slope,0.10826229949107857,0.0960065205284249,0.11815820584678964
static,log_loss,0.5794567113200264,0.5648821086657343,0.5991679340437216
static,brier,0.18704290643440702,0.18261751548811328,0.19311879765951073
static,auroc,0.780302251457432,0.7689403957541734,0.7886629127406305
static,auprc,0.8073318002336716,0.7962781214801391,0.8186718040506256
static,calibration_slope,0.11251914912428637,0.10102325975170962,0.12240981698629375
symmetric,log_loss,0.5782670594916172,0.5636810140186845,0.5980055772871464
symmetric,brier,0.18654546110089132,0.18190106935068,0.1927928081272414
symmetric,auroc,0.7813983986725478,0.7699709717585244,0.7897123704905701
symmetric,auprc,0.8085417840369846,0.7974665046097363,0.8198207710012638
symmetric,calibration_slope,0.11280338095887732,0.10127270432893844,0.12277092235980239
