reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
none,0,0.6077390273216204,0.19663850134476096,0.5569071942356831,0.1053038772105418,0.6060774710596616,0.5681041673188716,0.7572169944973639,0.7909357917428793
static,0,0.5848254442113391,0.18797982687861228,0.5525751133991877,0.11021989477450167,0.6060774710596616,0.5703621913760442,0.7764691401252111,0.8059806678877188
symmetric,0,0.5830441893284493,0.18743524640537518,0.5523358878363607,0.1107317037791116,0.6060774710596616,0.5703449433296516,0.7778398918771056,0.8075595245294185
asymmetric,0,0.5828011226024777,0.18730517994536566,0.5522329312071456,0.11072248748709367,0.6060774710596616,0.5703237059326116,0.7781499503207211,0.807889664951792
none,1,0.5950717641605754,0.19370757340500397,0.5577833813021883,0.11215272288618575,0.6082856227450653,0.5685030924736431,0.7623450863138819,0.797379414062832
static,1,0.570522699416704,0.18475499286451122,0.5539189474778835,0.11702165867142961,0.6082856227450653,0.5704617006945749,0.7827218793395679,0.8155801700260202
symmetric,1,0.5693665631209593,0.1843411608643077,0.5537148934687414,0.11720551661715128,0.6082856227450653,0.5705695501750625,0.7836853279479923,0.8166254121419712
asymmetric,1,0.5689139513709937,0.1841395962244406,0.5535125119894135,0.11721110953585231,0.6082856227450653,0.5706318418212154,0.7841386154545225,0.8171184758503167
none,2,0.6004040308954569,0.19528706383473507,0.55002528800675,0.10736991306383027,0.5982750277532664,0.5661663792019778,0.7616785200030015,0.7938395352829533
static,2,0.5779576369314292,0.18694051119104854,0.546795521946277,0.11193621917745392,0.5982750277532664,0.5672608317930928,0.7808209416273231,0.8095800282844482
symmetric,2,0.577086992747223,0.18657327922047737,0.5467052691559123,0.11212315552436826,0.5982750277532664,0.5671861203504305,0.7817170332492352,0.8103948804517533
asymmetric,2,0.5767909547874887,0.18644615103165313,0.5465075544525982,0.11210766816899177,0.5982750277532664,0.5672701440012033,0.782061389927123,0.810915431062713
none,3,0.6177722108717651,0.20254876142148004,0.5560151185062734,0.10552814460689836,0.5975624586198975,0.5578690139495498,0.7491575507209474,0.7805428669595509
