reference,split,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc,feature,coefficient
none,validation,0.5360256841710551,0.1670383889059661,0.4863276613761982,0.13498387720627356,0.57938248322442,0.6055762790930975,0.8154311677003188,0.809157894426239,,
none,test,0.6041962509801476,0.19623123690490638,0.5542729736881046,0.10710287833733878,0.6001475213627634,0.5626027083834039,0.7600198327491574,0.7905985025544933,,
none,coefficient,,,,,,,,,log_age,0.44937830152247316
none,coefficient,,,,,,,,,log_event_count,-9.000290238886571e-17
none,coefficient,,,,,,,,,log_prev_weight,0.6761673639418895
none,coefficient,,,,,,,,,log_price,-0.1827037772643433
none,coefficient,,,,,,,,,proactive,0.0
none,coefficient,,,,,,,,,log_prior_opportunities,-0.3836820639780597
none,coefficient,,,,,,,,,prior_reduce_rate,0.4847913787723079
none,coefficient,,,,,,,,,lag_mktret,0.03420844043259725
none,coefficient,,,,,,,,,lag_transnum,0.1328821542029294
none,coefficient,,,,,,,,,lag_stknum,0.9787100499563547
none,coefficient,,,,,,,,,lag_stkprice,0.7769484399730128
none,coefficient,,,,,,,,,lag_num_posts,0.1448556125977805
none,coefficient,,,,,,,,,lag_pos,0.1388629725498515
none,coefficient,,,,,,,,,lag_neg,0.1339084980602895
none,coefficient,,,,,,,,,lag_neu,-0.26181520797265945
static,validation,0.5130371754956962,0.15901771802755707,0.48454418678924643,0.1360700778703147,0.57938248322442,0.6047806779013434,0.8308310877932507,0.8252386837113957,,
static,test,0.5810930185371473,0.18761026411668352,0.5507642292192724,0.11175219745860081,0.6001475213627634,0.5645488100166116,0.7796733753454157,0.8074271430978337,,
static,coefficient,,,,,,,,,log_age,0.46066049253358454
static,coefficient,,,,,,,,,log_event_count,-9.255465958522205e-17
static,coefficient,,,,,,,,,log_prev_weight,0.7082897548608098
static,coefficient,,,,,,,,,log_price,-0.2371094076001967
static,coefficient,,,,,,,,,proactive,0.0
static,coefficient,,,,,,,,,log_prior_opportunities,-0.36335201460849925
static,coefficient,,,,,,,,,prior_reduce_rate,0.49265929147068305
static,coefficient,,,,,,,,,lag_mktret,0.009365579756532832
static,coefficient,,,,,,,,,lag_transnum,0.15055448563700777
static,coefficient,,,,,,,,,lag_stknum,0.9523209107437781
static,coefficient,,,,,,,,,lag_stkprice,0.7761893990996077
static,coefficient,,,,,,,,,lag_num_posts,0.12320142344980849
static,coefficient,,,,,,,,,lag_pos,0.15448582349873485
static,coefficient,,,,,,,,,lag_neg,0.14740117580053969
static,coefficient,,,,,,,,,lag_neu,-0.2882415834539231
static,coefficient,,,,,,,,,static_relative,0.03912681477936643
static,coefficient,,,,,,,,,static_gain,0.4633602819666296
symmetric,validation,0.5119707931838267,0.1587076818577405,0.48504596146291706,0.13599367593640174,0.57938248322442,0.6040885927315034,0.831393043326404,0.8260075220589156,,
symmetric,test,0.5797470350860185,0.1871238929837934,0.5506341420011591,0.11206929141518421,0.6001475213627634,0.5644626482180931,0.7808387002502625,0.8085864082566665,,
symmetric,coefficient,,,,,,,,,log_age,0.4748223690795632
symmetric,coefficient,,,,,,,,,log_event_count,-9.275782411825194e-17
symmetric,coefficient,,,,,,,,,log_prev_weight,0.7071946904901849
symmetric,coefficient,,,,,,,,,log_price,-0.24005391048948557
symmetric,coefficient,,,,,,,,,proactive,0.0
symmetric,coefficient,,,,,,,,,log_prior_opportunities,-0.36271565030010616
symmetric,coefficient,,,,,,,,,prior_reduce_rate,0.49362693693381166
symmetric,coefficient,,,,,,,,,lag_mktret,0.00895668681012203
symmetric,coefficient,,,,,,,,,lag_transnum,0.15207659599081447
symmetric,coefficient,,,,,,,,,lag_stknum,0.9491996818142597
symmetric,coefficient,,,,,,,,,lag_stkprice,0.7762155322422261
symmetric,coefficient,,,,,,,,,lag_num_posts,0.12260347014206965
symmetric,coefficient,,,,,,,,,lag_pos,0.15530664381508497
symmetric,coefficient,,,,,,,,,lag_neg,0.14830018162234263
symmetric,coefficient,,,,,,,,,lag_neu,-0.2895752574102859
symmetric,coefficient,,,,,,,,,symmetric_relative,0.06839762269076953
symmetric,coefficient,,,,,,,,,symmetric_gain,0.45794327549697844
asymmetric,validation,0.5118399902875429,0.1586259315614691,0.4848870214738375,0.135851830439091,0.57938248322442,0.6041363794128245,0.8316487611781006,0.8263107044764014,,
asymmetric,test,0.5793743309413155,0.18696242905390922,0.5505042609665055,0.11209043947792804,0.6001475213627634,0.5644442773158524,0.7812379506215272,0.8090864894867756,,
asymmetric,coefficient,,,,,,,,,log_age,0.48052931130230286
asymmetric,coefficient,,,,,,,,,log_event_count,-9.290089640252528e-17
asymmetric,coefficient,,,,,,,,,log_prev_weight,0.7053947902672487
asymmetric,coefficient,,,,,,,,,log_price,-0.2401413699065336
asymmetric,coefficient,,,,,,,,,proactive,0.0
asymmetric,coefficient,,,,,,,,,log_prior_opportunities,-0.35916357766004664
asymmetric,coefficient,,,,,,,,,prior_reduce_rate,0.49303414725437356
asymmetric,coefficient,,,,,,,,,lag_mktret,0.008599323849922274
asymmetric,coefficient,,,,,,,,,lag_transnum,0.15320220900586673
asymmetric,coefficient,,,,,,,,,lag_stknum,0.9462761060482884
asymmetric,coefficient,,,,,,,,,lag_stkprice,0.7782258592109349
asymmetric,coefficient,,,,,,,,,lag_num_posts,0.12388061775193936
asymmetric,coefficient,,,,,,,,,lag_pos,0.1543283083719085
asymmetric,coefficient,,,,,,,,,lag_neg,0.14661528630989518
asymmetric,coefficient,,,,,,,,,lag_neu,-0.28830108805597693
asymmetric,coefficient,,,,,,,,,asymmetric_relative,0.0710045293511861
asymmetric,coefficient,,,,,,,,,asymmetric_gain,0.460496203470929
