reference,bootstrap,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
static,0,0.7237953905327236,0.506035569968857,0.21775982056386656,33019,38853
symmetric,0,0.7274602783594039,0.5060158391714895,0.22144443918791434,32476,39396
asymmetric,0,0.730575968846178,0.507044716462653,0.223531252383525,31842,40030
static,1,0.7309116503963032,0.5058297110713372,0.225081939324966,32677,39110
symmetric,1,0.7343662671551885,0.5056971779389101,0.22866908921627838,32206,39581
asymmetric,1,0.7375229299765956,0.5065597849087605,0.2309631450678351,31618,40169
static,2,0.7199583346485275,0.4983541121277313,0.22160422252079626,31681,38581
symmetric,2,0.7226410856941191,0.4991174890645384,0.2235235966295807,31169,39093
asymmetric,2,0.7257848485838424,0.4998360697082041,0.2259487788756383,30611,39651
static,3,0.7195012825866491,0.49657881085887906,0.22292247172777008,33526,40483
symmetric,3,0.7230522137034455,0.4965861984881736,0.22646601521527193,32999,41010
asymmetric,3,0.7262493814943097,0.4977083483310537,0.22854103316325602,32336,41673
static,4,0.7144384709062287,0.5019905449116696,0.21244792599455908,33667,40190
symmetric,4,0.7182243696210177,0.5017917628000589,0.21643260682095877,33115,40742
asymmetric,4,0.722038813982907,0.5024851614148531,0.21955365256805393,32411,41446
static,5,0.7199270208423526,0.4975813600101304,0.22234566083222218,32338,39485
symmetric,5,0.723237843950245,0.4977367644484457,0.22550107950179932,31836,39987
asymmetric,5,0.7265650028833216,0.4986333078874141,0.22793169499590749,31214,40609
static,6,0.7218955270566155,0.5051895013396457,0.21670602571696984,31970,38443
symmetric,6,0.7254795742782487,0.5055724936588866,0.21990708061936215,31382,39031
asymmetric,6,0.7285908913974309,0.5062271062271062,0.22236378517032473,30828,39585
static,7,0.7084860703812317,0.4879916816717811,0.2204943887094506,32736,39431
symmetric,7,0.7117380227428074,0.48840699332182785,0.22333102942097954,32186,39981
asymmetric,7,0.7153263864694518,0.48898852047100555,0.22633786599844624,31573,40594
static,8,0.7158398048905719,0.5048546359710647,0.21098516891950714,31162,36357
symmetric,8,0.7194465293868094,0.5048269877427053,0.21461954164410413,30643,36876
asymmetric,8,0.7233179233046196,0.5050197586243725,0.2182981646802471,30067,37452
static,9,0.7247289774392031,0.4898851698021012,0.2348438076371019,34130,40930
symmetric,9,0.7281429293379708,0.48989642934743244,0.23824649999053832,33639,41421
asymmetric,9,0.7316451857467778,0.4909112510395628,0.24073393470721505,32975,42085
static,10,0.7143631436314363,0.4880143571337008,0.2263487864977355,33210,39005
symmetric,10,0.7178369752025534,0.48873356715702354,0.22910340804552987,32584,39631
asymmetric,10,0.7215316697454522,0.4894726387923329,0.23205903095311936,31939,40276
static,11,0.7230832452741576,0.49812578092461474,0.22495746434954283,34068,40817
symmetric,11,0.7260543831895652,0.49879174520322844,0.22726263798633672,33503,41382
asymmetric,11,0.7295748895322262,0.4997623009270264,0.22981258860519976,32815,42070
static,12,0.7061326733868534,0.5025762677277829,0.20355640565907052,33134,39204
symmetric,12,0.7095874455955373,0.5023418614020951,0.2072455841934422,32626,39712
asymmetric,12,0.7135480236597502,0.5026618794106723,0.21088614424907792,31953,40385
static,13,0.7174702875792844,0.4977688875211571,0.21970140005812733,32478,38994
symmetric,13,0.7210805746408495,0.49738923248504513,0.22369134215580438,32020,39452
asymmetric,13,0.7241566226643709,0.49865370231862377,0.2255029203457471,31362,40110
static,14,0.7179540709812109,0.4937327651040361,0.22422130587717481,33530,39890
symmetric,14,0.7224935537691491,0.4931652453343221,0.22932830843482704,32965,40455
asymmetric,14,0.7262545634552318,0.4937953185069833,0.23245924494824843,32322,41098
static,15,0.7237768660829098,0.5211502341207904,0.20262663196211939,32662,37801
symmetric,15,0.7270121210232761,0.5214490487359916,0.20556307228728443,32093,38370
asymmetric,15,0.7302974450235159,0.5220925759712783,0.20820486905223756,31468,38995
static,16,0.7256478446409796,0.49829865710797683,0.22734918753300282,32338,38499
symmetric,16,0.7289740202553942,0.49875777988371794,0.2302162403716762,31794,39043
asymmetric,16,0.7310997114459763,0.5005927308497491,0.2305069805962272,31190,39647
static,17,0.7181744918365519,0.5046183168800704,0.2135561749564815,33503,40924
symmetric,17,0.7213718389580354,0.5053890198720108,0.21598281908602457,32861,41566
asymmetric,17,0.7242075196373684,0.5065611824340329,0.21764633720333548,32209,42218
static,18,0.720106261390665,0.4969609187078085,0.22314534268285652,32373,38663
symmetric,18,0.7246790747308621,0.4961582641991066,0.22852081053175555,31861,39175
asymmetric,18,0.7285315895759208,0.4969502246542333,0.23158136492168752,31197,39839
static,19,0.7210155562078074,0.5044179119421291,0.2165976442656783,34070,39951
symmetric,19,0.7246874160723344,0.5043692915329548,0.2203181245393796,33511,40510
asymmetric,19,0.7275518268587756,0.5053619628918123,0.22218986396696327,32898,41123
static,20,0.7106426479526994,0.5041221444362565,0.2065205035164429,36194,43424
symmetric,20,0.7153204750273731,0.5030341598672697,0.21228631516010332,35619,43999
asymmetric,20,0.7187974665405669,0.5037674678591392,0.2150299986814277,34893,44725
static,21,0.7105970952124798,0.4983308042488619,0.21226629096361793,33462,39540
symmetric,21,0.7147687808444526,0.4982825567502987,0.2164862240941539,32826,40176
asymmetric,21,0.7188452684626392,0.49867828470726455,0.22016698375537463,32146,40856
static,22,0.7241558441558441,0.4945314884525384,0.2296243557033057,32725,39316
symmetric,22,0.727871910461682,0.49475875213160797,0.233113158330074,32165,39876
asymmetric,22,0.7305706048221018,0.4961213498690647,0.2344492549530371,31563,40478
static,23,0.7241155769586961,0.49302504816955683,0.23109052878913927,32394,38925
symmetric,23,0.7282615529707639,0.4931028373282037,0.2351587156425602,31810,39509
asymmetric,23,0.7318089984927685,0.4940203308750249,0.2377886676177436,31183,40136
static,24,0.7165607080528547,0.5006397367940048,0.2159209712588499,32088,38297
symmetric,24,0.7205635054097789,0.5005660183184111,0.2199974870913678,31517,38868
asymmetric,24,0.724701465971975,0.5007598014385574,0.22394166453341768,30901,39484
static,25,0.7340207466302254,0.4960946622726211,0.23792608435760432,32198,38537
symmetric,25,0.7383735624921016,0.4958933551672082,0.2424802073248934,31652,39083
asymmetric,25,0.7420195649375724,0.4965581582995033,0.2454614066380691,31076,39659
static,26,0.7257819617370179,0.51213364305837,0.21364831867864797,32930,40466
symmetric,26,0.7294034090909091,0.5121184043694529,0.21728500472145618,32384,41012
asymmetric,26,0.7317587117876463,0.513389423076923,0.21836928871072325,31796,41600
static,27,0.7276441216522923,0.48916305435145047,0.23848106730084184,33045,38987
symmetric,27,0.7329984901241796,0.4883397761439147,0.2446587139802649,32453,39579
asymmetric,27,0.7372611966134769,0.48910802553466304,0.24815317107881385,31773,40259
static,28,0.726364103028656,0.4977177010566666,0.22864640197198938,33117,39653
symmetric,28,0.7308330261702912,0.4972895011687472,0.23354352500154402,32556,40214
